Started at: 10:35:33

📌 Processing: /DATA/rohan_kirti/country/Bengali/RBQ/Bangladesh_RBQ.xlsx
✅ Saved → RBQ | boli khela | Row 0
✅ Saved → RBQ | boli khela | Row 1
✅ Saved → RBQ | boli khela | Row 2
✅ Saved → RBQ | boli khela | Row 3
✅ Saved → RBQ | boli khela | Row 4
✅ Saved → RBQ | boli khela | Row 5
✅ Saved → RBQ | boli khela | Row 6
✅ Saved → RBQ | boli khela | Row 7
✅ Saved → RBQ | boli khela | Row 8
✅ Saved → RBQ | boli khela | Row 9
✅ Saved → RBQ | boli khela | Row 10
✅ Saved → RBQ | boli khela | Row 11
✅ Saved → RBQ | boli khela | Row 12
✅ Saved → RBQ | boli khela | Row 13
✅ Saved → RBQ | boli khela | Row 14
✅ Saved → RBQ | boli khela | Row 15
✅ Saved → RBQ | boli khela | Row 16
✅ Saved → RBQ | boli khela | Row 17
✅ Saved → RBQ | boli khela | Row 18
✅ Saved → RBQ | boli khela | Row 19
✅ Saved → RBQ | boli khela | Row 20
✅ Saved → RBQ | boli khela | Row 21
✅ Saved → RBQ | boli khela | Row 22
✅ Saved → RBQ | boli khela | Row 23
✅ Saved → RBQ | boli khela | Row 24
✅ Saved → RBQ | boli khela | Row 25
✅ Saved → RBQ | boli khela | Row 26
✅ Saved → RBQ | boli khela | Row 27
✅ Saved → RBQ | boli khela | Row 28
✅ Saved → RBQ | boli khela | Row 29
✅ Saved → RBQ | boli khela | Row 30
✅ Saved → RBQ | boli khela | Row 31
✅ Saved → RBQ | boli khela | Row 32
✅ Saved → RBQ | boli khela | Row 33
✅ Saved → RBQ | boli khela | Row 34
✅ Saved → RBQ | boli khela | Row 35
✅ Saved → RBQ | boli khela | Row 36
✅ Saved → RBQ | boli khela | Row 37
✅ Saved → RBQ | boli khela | Row 38
✅ Saved → RBQ | boli khela | Row 39
✅ Saved → RBQ | boli khela | Row 40
✅ Saved → RBQ | boli khela | Row 41
✅ Saved → RBQ | boli khela | Row 42
✅ Saved → RBQ | boli khela | Row 43
✅ Saved → RBQ | boli khela | Row 44
✅ Saved → RBQ | boli khela | Row 45
✅ Saved → RBQ | boli khela | Row 46
✅ Saved → RBQ | boli khela | Row 47
✅ Saved → RBQ | boli khela | Row 48
✅ Saved → RBQ | boli khela | Row 49
✅ Saved → RBQ | boli khela | Row 50
✅ Saved → RBQ | boli khela | Row 51
✅ Saved → RBQ | boli khela | Row 52
✅ Saved → RBQ | boli khela | Row 53
✅ Saved → RBQ | boli khela | Row 55
✅ Saved → RBQ | boli khela | Row 56
✅ Saved → RBQ | boli khela | Row 57
✅ Saved → RBQ | boli khela | Row 58
✅ Saved → RBQ | boli khela | Row 59
✅ Saved → RBQ | boli khela | Row 60
✅ Saved → RBQ | boli khela | Row 61
✅ Saved → RBQ | boli khela | Row 62
✅ Saved → RBQ | boli khela | Row 63
✅ Saved → RBQ | boli khela | Row 64
✅ Saved → RBQ | boli khela | Row 65
✅ Saved → RBQ | boli khela | Row 66
✅ Saved → RBQ | boli khela | Row 67
✅ Saved → RBQ | boli khela | Row 68
✅ Saved → RBQ | boli khela | Row 69
✅ Saved → RBQ | boli khela | Row 70
✅ Saved → RBQ | boli khela | Row 71
✅ Saved → RBQ | boli khela | Row 72
✅ Saved → RBQ | boli khela | Row 73
✅ Saved → RBQ | boli khela | Row 74
✅ Saved → RBQ | boli khela | Row 75
✅ Saved → RBQ | boli khela | Row 76
✅ Saved → RBQ | boli khela | Row 77
✅ Saved → RBQ | boli khela | Row 78
✅ Saved → RBQ | boli khela | Row 79
✅ Saved → RBQ | boli khela | Row 80
✅ Saved → RBQ | boli khela | Row 81
✅ Saved → RBQ | boli khela | Row 82
✅ Saved → RBQ | boli khela | Row 83
✅ Saved → RBQ | boli khela | Row 84
✅ Saved → RBQ | boli khela | Row 85
✅ Saved → RBQ | boli khela | Row 86
✅ Saved → RBQ | boli khela | Row 87
✅ Saved → RBQ | boli khela | Row 88
✅ Saved → RBQ | boli khela | Row 89
✅ Saved → RBQ | boli khela | Row 90
✅ Saved → RBQ | boli khela | Row 91
✅ Saved → RBQ | boli khela | Row 92
✅ Saved → RBQ | boli khela | Row 93
✅ Saved → RBQ | boli khela | Row 94
✅ Saved → RBQ | boli khela | Row 95
✅ Saved → RBQ | boli khela | Row 96
✅ Saved → RBQ | boli khela | Row 97
✅ Saved → RBQ | boli khela | Row 98
✅ Saved → RBQ | boli khela | Row 99
✅ Saved → RBQ | boli khela | Row 100
✅ Saved → RBQ | boli khela | Row 101
✅ Saved → RBQ | boli khela | Row 102
✅ Saved → RBQ | boli khela | Row 103
✅ Saved → RBQ | boli khela | Row 104
✅ Saved → RBQ | boli khela | Row 105
✅ Saved → RBQ | boli khela | Row 106
✅ Saved → RBQ | boli khela | Row 107
✅ Saved → RBQ | boli khela | Row 108
✅ Saved → RBQ | boli khela | Row 109
✅ Saved → RBQ | boli khela | Row 110
✅ Saved → RBQ | boli khela | Row 111
✅ Saved → RBQ | boli khela | Row 112
✅ Saved → RBQ | boli khela | Row 113
✅ Saved → RBQ | boli khela | Row 114
✅ Saved → RBQ | boli khela | Row 115
✅ Saved → RBQ | boli khela | Row 116
✅ Saved → RBQ | boli khela | Row 117
✅ Saved → RBQ | boli khela | Row 118
✅ Saved → RBQ | boli khela | Row 119
✅ Saved → RBQ | boli khela | Row 120
✅ Saved → RBQ | boli khela | Row 121
✅ Saved → RBQ | boli khela | Row 122
✅ Saved → RBQ | boli khela | Row 123
✅ Saved → RBQ | boli khela | Row 124
✅ Saved → RBQ | dariabandha | Row 0
✅ Saved → RBQ | dariabandha | Row 1
✅ Saved → RBQ | dariabandha | Row 2
✅ Saved → RBQ | dariabandha | Row 3
✅ Saved → RBQ | dariabandha | Row 4
✅ Saved → RBQ | dariabandha | Row 5
✅ Saved → RBQ | dariabandha | Row 6
✅ Saved → RBQ | dariabandha | Row 7
✅ Saved → RBQ | dariabandha | Row 8
✅ Saved → RBQ | dariabandha | Row 9
✅ Saved → RBQ | dariabandha | Row 10
✅ Saved → RBQ | dariabandha | Row 11
✅ Saved → RBQ | dariabandha | Row 12
✅ Saved → RBQ | dariabandha | Row 13
✅ Saved → RBQ | dariabandha | Row 14
✅ Saved → RBQ | dariabandha | Row 15
✅ Saved → RBQ | dariabandha | Row 16
✅ Saved → RBQ | dariabandha | Row 17
✅ Saved → RBQ | dariabandha | Row 18
✅ Saved → RBQ | dariabandha | Row 19
✅ Saved → RBQ | dariabandha | Row 20
✅ Saved → RBQ | dariabandha | Row 21
✅ Saved → RBQ | dariabandha | Row 22
✅ Saved → RBQ | dariabandha | Row 23
✅ Saved → RBQ | dariabandha | Row 24
✅ Saved → RBQ | dariabandha | Row 25
✅ Saved → RBQ | dariabandha | Row 26
✅ Saved → RBQ | dariabandha | Row 27
✅ Saved → RBQ | dariabandha | Row 28
✅ Saved → RBQ | dariabandha | Row 29
✅ Saved → RBQ | dariabandha | Row 30
✅ Saved → RBQ | dariabandha | Row 31
✅ Saved → RBQ | dariabandha | Row 32
✅ Saved → RBQ | dariabandha | Row 33
✅ Saved → RBQ | dariabandha | Row 34
✅ Saved → RBQ | dariabandha | Row 35
✅ Saved → RBQ | dariabandha | Row 36
✅ Saved → RBQ | dariabandha | Row 37
✅ Saved → RBQ | dariabandha | Row 38
✅ Saved → RBQ | dariabandha | Row 39
✅ Saved → RBQ | dariabandha | Row 40
✅ Saved → RBQ | dariabandha | Row 41
✅ Saved → RBQ | dariabandha | Row 42
✅ Saved → RBQ | dariabandha | Row 43
✅ Saved → RBQ | dariabandha | Row 44
✅ Saved → RBQ | dariabandha | Row 45
✅ Saved → RBQ | dariabandha | Row 46
✅ Saved → RBQ | dariabandha | Row 47
✅ Saved → RBQ | dariabandha | Row 48
✅ Saved → RBQ | dariabandha | Row 49
✅ Saved → RBQ | dariabandha | Row 50
✅ Saved → RBQ | dariabandha | Row 51
✅ Saved → RBQ | dariabandha | Row 52
✅ Saved → RBQ | dariabandha | Row 53
✅ Saved → RBQ | dariabandha | Row 54
✅ Saved → RBQ | dariabandha | Row 55
✅ Saved → RBQ | dariabandha | Row 56
✅ Saved → RBQ | dariabandha | Row 57
✅ Saved → RBQ | dariabandha | Row 58
