Started at: 10:34:43

📌 Processing: /DATA/rohan_kirti/country/Bengali/SBQ/Bangladesh_SBQ.xlsx
✅ Saved → SBQ | boli khela | Row 0
✅ Saved → SBQ | boli khela | Row 1
✅ Saved → SBQ | boli khela | Row 2
✅ Saved → SBQ | boli khela | Row 3
✅ Saved → SBQ | boli khela | Row 4
✅ Saved → SBQ | boli khela | Row 5
✅ Saved → SBQ | boli khela | Row 6
✅ Saved → SBQ | boli khela | Row 7
✅ Saved → SBQ | boli khela | Row 8
✅ Saved → SBQ | boli khela | Row 9
✅ Saved → SBQ | boli khela | Row 10
✅ Saved → SBQ | boli khela | Row 11
✅ Saved → SBQ | boli khela | Row 12
✅ Saved → SBQ | boli khela | Row 13
✅ Saved → SBQ | boli khela | Row 14
✅ Saved → SBQ | boli khela | Row 15
✅ Saved → SBQ | boli khela | Row 16
✅ Saved → SBQ | boli khela | Row 17
✅ Saved → SBQ | boli khela | Row 18
✅ Saved → SBQ | boli khela | Row 19
✅ Saved → SBQ | boli khela | Row 20
✅ Saved → SBQ | boli khela | Row 21
✅ Saved → SBQ | boli khela | Row 22
✅ Saved → SBQ | boli khela | Row 23
✅ Saved → SBQ | boli khela | Row 24
✅ Saved → SBQ | boli khela | Row 25
✅ Saved → SBQ | boli khela | Row 26
✅ Saved → SBQ | boli khela | Row 27
✅ Saved → SBQ | boli khela | Row 28
✅ Saved → SBQ | boli khela | Row 29
✅ Saved → SBQ | boli khela | Row 30
✅ Saved → SBQ | boli khela | Row 31
✅ Saved → SBQ | boli khela | Row 32
✅ Saved → SBQ | boli khela | Row 33
✅ Saved → SBQ | boli khela | Row 34
✅ Saved → SBQ | boli khela | Row 35
✅ Saved → SBQ | boli khela | Row 36
✅ Saved → SBQ | boli khela | Row 37
✅ Saved → SBQ | boli khela | Row 38
✅ Saved → SBQ | boli khela | Row 39
✅ Saved → SBQ | boli khela | Row 40
✅ Saved → SBQ | boli khela | Row 41
✅ Saved → SBQ | boli khela | Row 42
✅ Saved → SBQ | boli khela | Row 43
✅ Saved → SBQ | boli khela | Row 44
✅ Saved → SBQ | boli khela | Row 45
✅ Saved → SBQ | boli khela | Row 46
✅ Saved → SBQ | boli khela | Row 47
✅ Saved → SBQ | boli khela | Row 48
✅ Saved → SBQ | boli khela | Row 49
✅ Saved → SBQ | boli khela | Row 50
✅ Saved → SBQ | boli khela | Row 51
✅ Saved → SBQ | boli khela | Row 52
✅ Saved → SBQ | boli khela | Row 53
✅ Saved → SBQ | boli khela | Row 54
✅ Saved → SBQ | boli khela | Row 55
