Started at: 21:11:58
['C:\\Users\\nilad\\Documents\\country-dataset\\china\\IBQ\\China_IBQ.xlsx']

-> Processing: C:\Users\nilad\Documents\country-dataset\china\IBQ\China_IBQ.xlsx
[SAVED] -> IBQ | Tai_chi | Row 0
[SAVED] -> IBQ | Tai_chi | Row 1
[SAVED] -> IBQ | Tai_chi | Row 2
[SAVED] -> IBQ | Tai_chi | Row 3
[SAVED] -> IBQ | Tai_chi | Row 4
[SAVED] -> IBQ | Tai_chi | Row 5
[SAVED] -> IBQ | Tai_chi | Row 6
[SAVED] -> IBQ | Tai_chi | Row 7
[SAVED] -> IBQ | Tai_chi | Row 8
[SAVED] -> IBQ | Tai_chi | Row 9
[SAVED] -> IBQ | Tai_chi | Row 10
[SAVED] -> IBQ | Tai_chi | Row 11
[SAVED] -> IBQ | Tai_chi | Row 12
[SAVED] -> IBQ | Tai_chi | Row 13
[SAVED] -> IBQ | Tai_chi | Row 14
[SAVED] -> IBQ | Tai_chi | Row 15
[SAVED] -> IBQ | Tai_chi | Row 16
[SAVED] -> IBQ | Tai_chi | Row 17
[SAVED] -> IBQ | Tai_chi | Row 18
[SAVED] -> IBQ | Tai_chi | Row 19
[SAVED] -> IBQ | Tai_chi | Row 20
[SAVED] -> IBQ | Tai_chi | Row 21
[SAVED] -> IBQ | Tai_chi | Row 22
[SAVED] -> IBQ | Tai_chi | Row 23
[SAVED] -> IBQ | Tai_chi | Row 24
[SAVED] -> IBQ | Tai_chi | Row 25
[SAVED] -> IBQ | Tai_chi | Row 26
[SAVED] -> IBQ | Tai_chi | Row 27
[SAVED] -> IBQ | Tai_chi | Row 28
[SAVED] -> IBQ | Tai_chi | Row 29
[SAVED] -> IBQ | Tai_chi | Row 30
[SAVED] -> IBQ | Tai_chi | Row 31
[SAVED] -> IBQ | Tai_chi | Row 32
[SAVED] -> IBQ | Tai_chi | Row 33
[SAVED] -> IBQ | Tai_chi | Row 34
[SAVED] -> IBQ | Tai_chi | Row 35
[SAVED] -> IBQ | Tai_chi | Row 36
[SAVED] -> IBQ | Tai_chi | Row 37
[SAVED] -> IBQ | Tai_chi | Row 38
[SAVED] -> IBQ | Tai_chi | Row 39
[SAVED] -> IBQ | Tai_chi | Row 40
[SAVED] -> IBQ | Tai_chi | Row 41
[SAVED] -> IBQ | Tai_chi | Row 42
[SAVED] -> IBQ | Tai_chi | Row 43
[SAVED] -> IBQ | Tai_chi | Row 44
[SAVED] -> IBQ | Tai_chi | Row 45
[SAVED] -> IBQ | Tai_chi | Row 46
[SAVED] -> IBQ | Tai_chi | Row 47
[SAVED] -> IBQ | Tai_chi | Row 48
[SAVED] -> IBQ | Tai_chi | Row 49
[SAVED] -> IBQ | Tai_chi | Row 50
[SAVED] -> IBQ | Tai_chi | Row 51
[SAVED] -> IBQ | Tai_chi | Row 52
[SAVED] -> IBQ | Tai_chi | Row 53
[SAVED] -> IBQ | Tai_chi | Row 54
[SAVED] -> IBQ | Tai_chi | Row 55
[SAVED] -> IBQ | Tai_chi | Row 56
[SAVED] -> IBQ | Tai_chi | Row 57
[SAVED] -> IBQ | Tai_chi | Row 58
[SAVED] -> IBQ | Tai_chi | Row 59
[SAVED] -> IBQ | Tai_chi | Row 60
[SAVED] -> IBQ | Tai_chi | Row 61
[SAVED] -> IBQ | Tai_chi | Row 62
[SAVED] -> IBQ | Tai_chi | Row 63
[SAVED] -> IBQ | Tai_chi | Row 64
[SAVED] -> IBQ | Tai_chi | Row 65
[SAVED] -> IBQ | Tai_chi | Row 66
[SAVED] -> IBQ | Tai_chi | Row 67
[SAVED] -> IBQ | Tai_chi | Row 68
[SAVED] -> IBQ | Tai_chi | Row 69
[SAVED] -> IBQ | Tai_chi | Row 70
[SAVED] -> IBQ | Tai_chi | Row 71
[SAVED] -> IBQ | Tai_chi | Row 72
[SAVED] -> IBQ | Tai_chi | Row 73
[SAVED] -> IBQ | Tai_chi | Row 74
[SAVED] -> IBQ | Tai_chi | Row 75
[SAVED] -> IBQ | Tai_chi | Row 76
[SAVED] -> IBQ | Tai_chi | Row 77
[SAVED] -> IBQ | Tai_chi | Row 78
[SAVED] -> IBQ | Tai_chi | Row 79
[SAVED] -> IBQ | Tai_chi | Row 80
[SAVED] -> IBQ | Tai_chi | Row 81
[SAVED] -> IBQ | Tai_chi | Row 82
[SAVED] -> IBQ | Tai_chi | Row 83
[SAVED] -> IBQ | Tai_chi | Row 84
[SAVED] -> IBQ | Tai_chi | Row 85
[SAVED] -> IBQ | Tai_chi | Row 86
[SAVED] -> IBQ | Tai_chi | Row 87
[SAVED] -> IBQ | Tai_chi | Row 88
[SAVED] -> IBQ | Tai_chi | Row 89
[SAVED] -> IBQ | Tai_chi | Row 90
[SAVED] -> IBQ | Tai_chi | Row 91
[SAVED] -> IBQ | Tai_chi | Row 92
[SAVED] -> IBQ | Tai_chi | Row 93
[SAVED] -> IBQ | Tai_chi | Row 94
[SAVED] -> IBQ | Tai_chi | Row 96
[SAVED] -> IBQ | Tai_chi | Row 97
[SAVED] -> IBQ | Tai_chi | Row 98
[SAVED] -> IBQ | Tai_chi | Row 99
[SAVED] -> IBQ | cuju | Row 0
[SAVED] -> IBQ | cuju | Row 1
[SAVED] -> IBQ | cuju | Row 2
[SAVED] -> IBQ | cuju | Row 3
[SAVED] -> IBQ | cuju | Row 4
[SAVED] -> IBQ | cuju | Row 5
[SAVED] -> IBQ | cuju | Row 6
[SAVED] -> IBQ | cuju | Row 7
[SAVED] -> IBQ | cuju | Row 8
[SAVED] -> IBQ | cuju | Row 9
[SAVED] -> IBQ | cuju | Row 10
[SAVED] -> IBQ | cuju | Row 11
[SAVED] -> IBQ | cuju | Row 12
[SAVED] -> IBQ | cuju | Row 13
[SAVED] -> IBQ | cuju | Row 14
[SAVED] -> IBQ | cuju | Row 15
[SAVED] -> IBQ | cuju | Row 16
[SAVED] -> IBQ | cuju | Row 17
[SAVED] -> IBQ | cuju | Row 18
[SAVED] -> IBQ | cuju | Row 19
[SAVED] -> IBQ | cuju | Row 20
[SAVED] -> IBQ | cuju | Row 21
[SAVED] -> IBQ | cuju | Row 22
[SAVED] -> IBQ | cuju | Row 23
[SAVED] -> IBQ | cuju | Row 24
[SAVED] -> IBQ | cuju | Row 25
[SAVED] -> IBQ | cuju | Row 26
[SAVED] -> IBQ | cuju | Row 27
[SAVED] -> IBQ | cuju | Row 28
[SAVED] -> IBQ | cuju | Row 29
[SAVED] -> IBQ | cuju | Row 30
[SAVED] -> IBQ | cuju | Row 31
[SAVED] -> IBQ | cuju | Row 32
[SAVED] -> IBQ | cuju | Row 33
[SAVED] -> IBQ | cuju | Row 34
[SAVED] -> IBQ | cuju | Row 35
[SAVED] -> IBQ | cuju | Row 36
[SAVED] -> IBQ | cuju | Row 37
[SAVED] -> IBQ | cuju | Row 38
[SAVED] -> IBQ | cuju | Row 39
[SAVED] -> IBQ | cuju | Row 40
[SAVED] -> IBQ | cuju | Row 41
[SAVED] -> IBQ | cuju | Row 42
[SAVED] -> IBQ | cuju | Row 43
[SAVED] -> IBQ | cuju | Row 44
[SAVED] -> IBQ | cuju | Row 45
[SAVED] -> IBQ | cuju | Row 46
[SAVED] -> IBQ | cuju | Row 47
[SAVED] -> IBQ | cuju | Row 48
[SAVED] -> IBQ | cuju | Row 49
[SAVED] -> IBQ | cuju | Row 50
[SAVED] -> IBQ | cuju | Row 51
[SAVED] -> IBQ | cuju | Row 52
[SAVED] -> IBQ | cuju | Row 53
[SAVED] -> IBQ | cuju | Row 54
[SAVED] -> IBQ | cuju | Row 56
[SAVED] -> IBQ | cuju | Row 57
[SAVED] -> IBQ | cuju | Row 58
[SAVED] -> IBQ | cuju | Row 59
[SAVED] -> IBQ | cuju | Row 60
[SAVED] -> IBQ | cuju | Row 61
[SAVED] -> IBQ | cuju | Row 62
[SAVED] -> IBQ | cuju | Row 63
[SAVED] -> IBQ | cuju | Row 64
[SAVED] -> IBQ | cuju | Row 65
[SAVED] -> IBQ | cuju | Row 66
[SAVED] -> IBQ | cuju | Row 67
[SAVED] -> IBQ | cuju | Row 68
[SAVED] -> IBQ | cuju | Row 69
[SAVED] -> IBQ | cuju | Row 70
[SAVED] -> IBQ | cuju | Row 71
[SAVED] -> IBQ | cuju | Row 72
[SAVED] -> IBQ | cuju | Row 73
[SAVED] -> IBQ | cuju | Row 74
[SAVED] -> IBQ | cuju | Row 75
[SAVED] -> IBQ | cuju | Row 76
[SAVED] -> IBQ | cuju | Row 77
[SAVED] -> IBQ | cuju | Row 78
[SAVED] -> IBQ | cuju | Row 79
[SAVED] -> IBQ | cuju | Row 81
[SAVED] -> IBQ | cuju | Row 82
[SAVED] -> IBQ | cuju | Row 83
[SAVED] -> IBQ | cuju | Row 84
[SAVED] -> IBQ | cuju | Row 86
[SAVED] -> IBQ | cuju | Row 87
[SAVED] -> IBQ | cuju | Row 88
[SAVED] -> IBQ | cuju | Row 89
[SAVED] -> IBQ | cuju | Row 90
[SAVED] -> IBQ | cuju | Row 91
[SAVED] -> IBQ | cuju | Row 92
[SAVED] -> IBQ | cuju | Row 93
[SAVED] -> IBQ | cuju | Row 94
[SAVED] -> IBQ | Dragon_boat_racing | Row 0
[SAVED] -> IBQ | Dragon_boat_racing | Row 1
[SAVED] -> IBQ | Dragon_boat_racing | Row 2
[SAVED] -> IBQ | Dragon_boat_racing | Row 3
[SAVED] -> IBQ | Dragon_boat_racing | Row 4
[SAVED] -> IBQ | Dragon_boat_racing | Row 5
[SAVED] -> IBQ | Dragon_boat_racing | Row 6
[SAVED] -> IBQ | Dragon_boat_racing | Row 7
[SAVED] -> IBQ | Dragon_boat_racing | Row 8
[SAVED] -> IBQ | Dragon_boat_racing | Row 9
[SAVED] -> IBQ | Dragon_boat_racing | Row 10
[SAVED] -> IBQ | Dragon_boat_racing | Row 11
[SAVED] -> IBQ | Dragon_boat_racing | Row 12
[SAVED] -> IBQ | Dragon_boat_racing | Row 13
[SAVED] -> IBQ | Dragon_boat_racing | Row 14
[SAVED] -> IBQ | Dragon_boat_racing | Row 15
[SAVED] -> IBQ | Dragon_boat_racing | Row 16
[SAVED] -> IBQ | Dragon_boat_racing | Row 17
[SAVED] -> IBQ | Dragon_boat_racing | Row 18
[SAVED] -> IBQ | Dragon_boat_racing | Row 19
[SAVED] -> IBQ | Dragon_boat_racing | Row 20
[SAVED] -> IBQ | Dragon_boat_racing | Row 21
[SAVED] -> IBQ | Dragon_boat_racing | Row 22
[SAVED] -> IBQ | Dragon_boat_racing | Row 23
[SAVED] -> IBQ | Dragon_boat_racing | Row 24
[SAVED] -> IBQ | Dragon_boat_racing | Row 25
[SAVED] -> IBQ | Dragon_boat_racing | Row 26
[SAVED] -> IBQ | Dragon_boat_racing | Row 27
[SAVED] -> IBQ | Dragon_boat_racing | Row 28
[SAVED] -> IBQ | Dragon_boat_racing | Row 29
[SAVED] -> IBQ | Dragon_boat_racing | Row 30
[SAVED] -> IBQ | Dragon_boat_racing | Row 31
[SAVED] -> IBQ | Dragon_boat_racing | Row 32
[SAVED] -> IBQ | Dragon_boat_racing | Row 33
[SAVED] -> IBQ | Dragon_boat_racing | Row 34
[SAVED] -> IBQ | Dragon_boat_racing | Row 35
[SAVED] -> IBQ | Dragon_boat_racing | Row 36
[SAVED] -> IBQ | Dragon_boat_racing | Row 37
[SAVED] -> IBQ | Dragon_boat_racing | Row 38
[SAVED] -> IBQ | Dragon_boat_racing | Row 39
[SAVED] -> IBQ | Dragon_boat_racing | Row 40
[SAVED] -> IBQ | Dragon_boat_racing | Row 41
[SAVED] -> IBQ | Dragon_boat_racing | Row 42
[SAVED] -> IBQ | Dragon_boat_racing | Row 43
[SAVED] -> IBQ | Dragon_boat_racing | Row 44
[SAVED] -> IBQ | Dragon_boat_racing | Row 46
[SAVED] -> IBQ | Dragon_boat_racing | Row 47
[SAVED] -> IBQ | Dragon_boat_racing | Row 48
[SAVED] -> IBQ | Dragon_boat_racing | Row 49
[SAVED] -> IBQ | Dragon_boat_racing | Row 50
[SAVED] -> IBQ | Dragon_boat_racing | Row 51
[SAVED] -> IBQ | Dragon_boat_racing | Row 53
[SAVED] -> IBQ | Dragon_boat_racing | Row 54
[SAVED] -> IBQ | Dragon_boat_racing | Row 55
[SAVED] -> IBQ | Dragon_boat_racing | Row 56
[SAVED] -> IBQ | Dragon_boat_racing | Row 57
[SAVED] -> IBQ | Dragon_boat_racing | Row 58
[SAVED] -> IBQ | Dragon_boat_racing | Row 59
[SAVED] -> IBQ | Dragon_boat_racing | Row 60
[SAVED] -> IBQ | Dragon_boat_racing | Row 61
[SAVED] -> IBQ | Dragon_boat_racing | Row 62
[SAVED] -> IBQ | Dragon_boat_racing | Row 63
[SAVED] -> IBQ | Dragon_boat_racing | Row 64
[SAVED] -> IBQ | Dragon_boat_racing | Row 66
[SAVED] -> IBQ | Dragon_boat_racing | Row 67
[SAVED] -> IBQ | Dragon_boat_racing | Row 68
[SAVED] -> IBQ | Dragon_boat_racing | Row 70
[SAVED] -> IBQ | Dragon_boat_racing | Row 71
[SAVED] -> IBQ | Dragon_boat_racing | Row 72
[SAVED] -> IBQ | Dragon_boat_racing | Row 73
[SAVED] -> IBQ | Dragon_boat_racing | Row 74
[SAVED] -> IBQ | Dragon_boat_racing | Row 76
[SAVED] -> IBQ | Dragon_boat_racing | Row 77
[SAVED] -> IBQ | Dragon_boat_racing | Row 78
[SAVED] -> IBQ | Dragon_boat_racing | Row 79
[SAVED] -> IBQ | Dragon_boat_racing | Row 81
[SAVED] -> IBQ | Dragon_boat_racing | Row 84
[SAVED] -> IBQ | go | Row 0
[SAVED] -> IBQ | go | Row 1
[SAVED] -> IBQ | go | Row 2
[SAVED] -> IBQ | go | Row 3
[SAVED] -> IBQ | go | Row 4
[SAVED] -> IBQ | go | Row 5
[SAVED] -> IBQ | go | Row 6
[SAVED] -> IBQ | go | Row 7
[SAVED] -> IBQ | go | Row 8
[SAVED] -> IBQ | go | Row 9
[SAVED] -> IBQ | go | Row 10
[SAVED] -> IBQ | go | Row 11
[SAVED] -> IBQ | go | Row 12
[SAVED] -> IBQ | go | Row 13
[SAVED] -> IBQ | go | Row 14
[SAVED] -> IBQ | go | Row 16
[SAVED] -> IBQ | go | Row 17
[SAVED] -> IBQ | go | Row 18
[SAVED] -> IBQ | go | Row 19
[SAVED] -> IBQ | go | Row 20
[SAVED] -> IBQ | go | Row 21
[SAVED] -> IBQ | go | Row 22
[SAVED] -> IBQ | go | Row 23
[SAVED] -> IBQ | go | Row 24
[SAVED] -> IBQ | go | Row 25
[SAVED] -> IBQ | go | Row 27
[SAVED] -> IBQ | go | Row 28
[SAVED] -> IBQ | go | Row 29
[SAVED] -> IBQ | go | Row 30
[SAVED] -> IBQ | go | Row 31
[SAVED] -> IBQ | go | Row 32
[SAVED] -> IBQ | go | Row 33
[SAVED] -> IBQ | go | Row 34
[SAVED] -> IBQ | go | Row 36
[SAVED] -> IBQ | go | Row 37
[SAVED] -> IBQ | go | Row 38
[SAVED] -> IBQ | go | Row 39
[SAVED] -> IBQ | go | Row 40
[SAVED] -> IBQ | go | Row 41
[SAVED] -> IBQ | go | Row 42
[SAVED] -> IBQ | go | Row 43
[SAVED] -> IBQ | go | Row 44
[SAVED] -> IBQ | go | Row 46
[SAVED] -> IBQ | go | Row 47
[SAVED] -> IBQ | go | Row 48
[SAVED] -> IBQ | go | Row 49
[SAVED] -> IBQ | go | Row 51
[SAVED] -> IBQ | go | Row 53
[SAVED] -> IBQ | go | Row 54
[SAVED] -> IBQ | go | Row 56
[SAVED] -> IBQ | go | Row 57
[SAVED] -> IBQ | go | Row 58
[SAVED] -> IBQ | go | Row 61
[SAVED] -> IBQ | go | Row 62
[SAVED] -> IBQ | go | Row 64
[SAVED] -> IBQ | go | Row 66
[SAVED] -> IBQ | go | Row 70
[SAVED] -> IBQ | go | Row 71
[SAVED] -> IBQ | go | Row 72
[SAVED] -> IBQ | go | Row 73
[SAVED] -> IBQ | go | Row 74
[SAVED] -> IBQ | go | Row 76
[SAVED] -> IBQ | go | Row 77
[SAVED] -> IBQ | go | Row 78
[SAVED] -> IBQ | go | Row 79
[SAVED] -> IBQ | go | Row 82
[SAVED] -> IBQ | go | Row 83
[SAVED] -> IBQ | go | Row 86
[SAVED] -> IBQ | go | Row 87
[SAVED] -> IBQ | go | Row 88
[SAVED] -> IBQ | gianzi | Row 0
[SAVED] -> IBQ | gianzi | Row 1
[SAVED] -> IBQ | gianzi | Row 2
[SAVED] -> IBQ | gianzi | Row 3
[SAVED] -> IBQ | gianzi | Row 4
[SAVED] -> IBQ | gianzi | Row 5
[SAVED] -> IBQ | gianzi | Row 6
[SAVED] -> IBQ | gianzi | Row 7
[SAVED] -> IBQ | gianzi | Row 8
[SAVED] -> IBQ | gianzi | Row 9
[SAVED] -> IBQ | gianzi | Row 10
[SAVED] -> IBQ | gianzi | Row 11
[SAVED] -> IBQ | gianzi | Row 12
[SAVED] -> IBQ | gianzi | Row 13
[SAVED] -> IBQ | gianzi | Row 14
[SAVED] -> IBQ | gianzi | Row 15
[SAVED] -> IBQ | gianzi | Row 16
[SAVED] -> IBQ | gianzi | Row 17
[SAVED] -> IBQ | gianzi | Row 18
[SAVED] -> IBQ | gianzi | Row 19
[SAVED] -> IBQ | gianzi | Row 20
[SAVED] -> IBQ | gianzi | Row 21
[SAVED] -> IBQ | gianzi | Row 22
[SAVED] -> IBQ | gianzi | Row 23
[SAVED] -> IBQ | gianzi | Row 26
[SAVED] -> IBQ | gianzi | Row 28
[SAVED] -> IBQ | gianzi | Row 31
