Started at: 21:01:42
['/DATA/rohan_kirti/country/ethopia/RBQ/Ethopia_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/ethopia/RBQ/Ethopia_RBQ.xlsx
✅ Saved → RBQ | Genna | Row 0
✅ Saved → RBQ | Genna | Row 1
✅ Saved → RBQ | Genna | Row 2
✅ Saved → RBQ | Genna | Row 3
✅ Saved → RBQ | Genna | Row 4
✅ Saved → RBQ | Genna | Row 5
✅ Saved → RBQ | Genna | Row 6
✅ Saved → RBQ | Genna | Row 7
✅ Saved → RBQ | Genna | Row 8
✅ Saved → RBQ | Genna | Row 9
✅ Saved → RBQ | Genna | Row 10
✅ Saved → RBQ | Genna | Row 11
✅ Saved → RBQ | Genna | Row 12
✅ Saved → RBQ | Genna | Row 13
✅ Saved → RBQ | Genna | Row 14
✅ Saved → RBQ | Genna | Row 15
✅ Saved → RBQ | Genna | Row 16
✅ Saved → RBQ | Genna | Row 17
✅ Saved → RBQ | Genna | Row 18
✅ Saved → RBQ | Genna | Row 19
✅ Saved → RBQ | Genna | Row 20
✅ Saved → RBQ | Genna | Row 21
✅ Saved → RBQ | Genna | Row 22
✅ Saved → RBQ | Genna | Row 23
✅ Saved → RBQ | Genna | Row 24
✅ Saved → RBQ | Genna | Row 25
✅ Saved → RBQ | Genna | Row 26
✅ Saved → RBQ | Genna | Row 27
✅ Saved → RBQ | Genna | Row 28
✅ Saved → RBQ | Genna | Row 29
✅ Saved → RBQ | Genna | Row 30
✅ Saved → RBQ | Genna | Row 31
✅ Saved → RBQ | Genna | Row 32
✅ Saved → RBQ | Genna | Row 33
✅ Saved → RBQ | Genna | Row 34
✅ Saved → RBQ | Genna | Row 35
✅ Saved → RBQ | Genna | Row 36
✅ Saved → RBQ | Genna | Row 37
✅ Saved → RBQ | Genna | Row 38
✅ Saved → RBQ | Genna | Row 39
✅ Saved → RBQ | Genna | Row 40
✅ Saved → RBQ | Genna | Row 41
✅ Saved → RBQ | Genna | Row 42
✅ Saved → RBQ | Genna | Row 43
✅ Saved → RBQ | Genna | Row 44
✅ Saved → RBQ | Genna | Row 45
✅ Saved → RBQ | Genna | Row 46
✅ Saved → RBQ | Genna | Row 47
✅ Saved → RBQ | Genna | Row 48
✅ Saved → RBQ | Genna | Row 49
✅ Saved → RBQ | Genna | Row 50
✅ Saved → RBQ | Genna | Row 52
✅ Saved → RBQ | Genna | Row 53
✅ Saved → RBQ | Genna | Row 54
✅ Saved → RBQ | Genna | Row 55
✅ Saved → RBQ | Genna | Row 56
✅ Saved → RBQ | Genna | Row 57
✅ Saved → RBQ | Genna | Row 58
✅ Saved → RBQ | Genna | Row 59
✅ Saved → RBQ | Genna | Row 60
✅ Saved → RBQ | Genna | Row 61
✅ Saved → RBQ | Genna | Row 62
✅ Saved → RBQ | Genna | Row 63
✅ Saved → RBQ | Genna | Row 64
✅ Saved → RBQ | Genna | Row 65
✅ Saved → RBQ | Genna | Row 66
✅ Saved → RBQ | Genna | Row 67
✅ Saved → RBQ | Genna | Row 68
✅ Saved → RBQ | Genna | Row 69
✅ Saved → RBQ | Genna | Row 70
✅ Saved → RBQ | Genna | Row 71
✅ Saved → RBQ | Genna | Row 72
✅ Saved → RBQ | Genna | Row 73
✅ Saved → RBQ | Genna | Row 74
✅ Saved → RBQ | Genna | Row 75
✅ Saved → RBQ | Genna | Row 76
✅ Saved → RBQ | Genna | Row 77
✅ Saved → RBQ | Genna | Row 78
✅ Saved → RBQ | Genna | Row 79
✅ Saved → RBQ | Genna | Row 80
✅ Saved → RBQ | Genna | Row 81
✅ Saved → RBQ | Genna | Row 82
✅ Saved → RBQ | Genna | Row 83
✅ Saved → RBQ | Genna | Row 84
✅ Saved → RBQ | Genna | Row 85
✅ Saved → RBQ | Genna | Row 86
✅ Saved → RBQ | Genna | Row 87
✅ Saved → RBQ | Genna | Row 88
✅ Saved → RBQ | Genna | Row 89
✅ Saved → RBQ | Genna | Row 90
✅ Saved → RBQ | Genna | Row 91
✅ Saved → RBQ | Genna | Row 92
✅ Saved → RBQ | Genna | Row 93
✅ Saved → RBQ | Genna | Row 94
✅ Saved → RBQ | Genna | Row 95
✅ Saved → RBQ | Genna | Row 96
✅ Saved → RBQ | Genna | Row 97
✅ Saved → RBQ | Genna | Row 98
✅ Saved → RBQ | Genna | Row 99
✅ Saved → RBQ | Genna | Row 100
✅ Saved → RBQ | Genna | Row 101
✅ Saved → RBQ | Genna | Row 102
✅ Saved → RBQ | Genna | Row 103
✅ Saved → RBQ | Genna | Row 104
✅ Saved → RBQ | Genna | Row 105
✅ Saved → RBQ | Genna | Row 106
✅ Saved → RBQ | Genna | Row 107
✅ Saved → RBQ | Genna | Row 108
✅ Saved → RBQ | Genna | Row 109
✅ Saved → RBQ | Genna | Row 110
✅ Saved → RBQ | Genna | Row 111
✅ Saved → RBQ | Genna | Row 112
✅ Saved → RBQ | Genna | Row 113
✅ Saved → RBQ | Genna | Row 114
✅ Saved → RBQ | Genna | Row 115
✅ Saved → RBQ | Genna | Row 116
✅ Saved → RBQ | Genna | Row 117
✅ Saved → RBQ | Genna | Row 118
✅ Saved → RBQ | Genna | Row 119
✅ Saved → RBQ | Genna | Row 120
✅ Saved → RBQ | Genna | Row 121
✅ Saved → RBQ | Genna | Row 122
✅ Saved → RBQ | Genna | Row 123
✅ Saved → RBQ | Genna | Row 124
✅ Saved → RBQ | Genna | Row 125
✅ Saved → RBQ | Genna | Row 126
✅ Saved → RBQ | Genna | Row 127
✅ Saved → RBQ | Genna | Row 128
✅ Saved → RBQ | Genna | Row 129
✅ Saved → RBQ | Genna | Row 130
✅ Saved → RBQ | Genna | Row 131
✅ Saved → RBQ | Genna | Row 132
✅ Saved → RBQ | Genna | Row 133
✅ Saved → RBQ | Genna | Row 134
✅ Saved → RBQ | Genna | Row 135
✅ Saved → RBQ | Genna | Row 136
✅ Saved → RBQ | Genna | Row 138
✅ Saved → RBQ | Genna | Row 139
✅ Saved → RBQ | Genna | Row 140
✅ Saved → RBQ | Genna | Row 141
✅ Saved → RBQ | Genna | Row 142
✅ Saved → RBQ | Genna | Row 143
✅ Saved → RBQ | Genna | Row 144
✅ Saved → RBQ | Genna | Row 145
✅ Saved → RBQ | Genna | Row 146
✅ Saved → RBQ | Genna | Row 147
✅ Saved → RBQ | Genna | Row 148
✅ Saved → RBQ | Genna | Row 149
✅ Saved → RBQ | Yeferas Guks | Row 0
✅ Saved → RBQ | Yeferas Guks | Row 1
✅ Saved → RBQ | Yeferas Guks | Row 2
✅ Saved → RBQ | Yeferas Guks | Row 3
✅ Saved → RBQ | Yeferas Guks | Row 4
✅ Saved → RBQ | Yeferas Guks | Row 5
✅ Saved → RBQ | Yeferas Guks | Row 6
✅ Saved → RBQ | Yeferas Guks | Row 7
✅ Saved → RBQ | Yeferas Guks | Row 8
✅ Saved → RBQ | Yeferas Guks | Row 9
✅ Saved → RBQ | Yeferas Guks | Row 10
✅ Saved → RBQ | Yeferas Guks | Row 11
✅ Saved → RBQ | Yeferas Guks | Row 12
✅ Saved → RBQ | Yeferas Guks | Row 13
✅ Saved → RBQ | Yeferas Guks | Row 14
✅ Saved → RBQ | Yeferas Guks | Row 15
✅ Saved → RBQ | Yeferas Guks | Row 16
✅ Saved → RBQ | Yeferas Guks | Row 17
✅ Saved → RBQ | Yeferas Guks | Row 18
