Started at: 21:02:55
SBQ

📌 Processing: /DATA/rohan_kirti/country/ethopia/SBQ/Ethopia_SBQ.xlsx
Genna
✅ Saved → SBQ | Genna | Row 0
✅ Saved → SBQ | Genna | Row 1
✅ Saved → SBQ | Genna | Row 2
✅ Saved → SBQ | Genna | Row 3
✅ Saved → SBQ | Genna | Row 4
✅ Saved → SBQ | Genna | Row 5
✅ Saved → SBQ | Genna | Row 6
✅ Saved → SBQ | Genna | Row 7
✅ Saved → SBQ | Genna | Row 8
✅ Saved → SBQ | Genna | Row 9
✅ Saved → SBQ | Genna | Row 10
✅ Saved → SBQ | Genna | Row 11
✅ Saved → SBQ | Genna | Row 12
✅ Saved → SBQ | Genna | Row 13
✅ Saved → SBQ | Genna | Row 14
✅ Saved → SBQ | Genna | Row 15
✅ Saved → SBQ | Genna | Row 16
✅ Saved → SBQ | Genna | Row 17
✅ Saved → SBQ | Genna | Row 18
✅ Saved → SBQ | Genna | Row 19
✅ Saved → SBQ | Genna | Row 20
✅ Saved → SBQ | Genna | Row 21
✅ Saved → SBQ | Genna | Row 22
✅ Saved → SBQ | Genna | Row 23
✅ Saved → SBQ | Genna | Row 24
✅ Saved → SBQ | Genna | Row 25
✅ Saved → SBQ | Genna | Row 26
✅ Saved → SBQ | Genna | Row 27
✅ Saved → SBQ | Genna | Row 28
✅ Saved → SBQ | Genna | Row 29
✅ Saved → SBQ | Genna | Row 30
✅ Saved → SBQ | Genna | Row 31
✅ Saved → SBQ | Genna | Row 32
✅ Saved → SBQ | Genna | Row 33
✅ Saved → SBQ | Genna | Row 34
✅ Saved → SBQ | Genna | Row 35
✅ Saved → SBQ | Genna | Row 36
✅ Saved → SBQ | Genna | Row 37
✅ Saved → SBQ | Genna | Row 38
✅ Saved → SBQ | Genna | Row 39
✅ Saved → SBQ | Genna | Row 40
✅ Saved → SBQ | Genna | Row 41
✅ Saved → SBQ | Genna | Row 42
✅ Saved → SBQ | Genna | Row 43
✅ Saved → SBQ | Genna | Row 44
✅ Saved → SBQ | Genna | Row 45
✅ Saved → SBQ | Genna | Row 46
✅ Saved → SBQ | Genna | Row 47
✅ Saved → SBQ | Genna | Row 48
✅ Saved → SBQ | Genna | Row 49
✅ Saved → SBQ | Genna | Row 50
✅ Saved → SBQ | Genna | Row 51
✅ Saved → SBQ | Genna | Row 52
✅ Saved → SBQ | Genna | Row 53
✅ Saved → SBQ | Genna | Row 54
✅ Saved → SBQ | Genna | Row 55
✅ Saved → SBQ | Genna | Row 56
✅ Saved → SBQ | Genna | Row 57
✅ Saved → SBQ | Genna | Row 58
✅ Saved → SBQ | Genna | Row 59
✅ Saved → SBQ | Genna | Row 60
✅ Saved → SBQ | Genna | Row 61
✅ Saved → SBQ | Genna | Row 62
✅ Saved → SBQ | Genna | Row 63
✅ Saved → SBQ | Genna | Row 64
✅ Saved → SBQ | Genna | Row 65
✅ Saved → SBQ | Genna | Row 66
✅ Saved → SBQ | Genna | Row 67
✅ Saved → SBQ | Genna | Row 68
✅ Saved → SBQ | Genna | Row 69
✅ Saved → SBQ | Genna | Row 70
✅ Saved → SBQ | Genna | Row 71
✅ Saved → SBQ | Genna | Row 72
✅ Saved → SBQ | Genna | Row 73
✅ Saved → SBQ | Genna | Row 74
✅ Saved → SBQ | Genna | Row 75
✅ Saved → SBQ | Genna | Row 76
✅ Saved → SBQ | Genna | Row 77
✅ Saved → SBQ | Genna | Row 78
✅ Saved → SBQ | Genna | Row 79
✅ Saved → SBQ | Genna | Row 80
✅ Saved → SBQ | Genna | Row 81
✅ Saved → SBQ | Genna | Row 82
✅ Saved → SBQ | Genna | Row 83
✅ Saved → SBQ | Genna | Row 84
✅ Saved → SBQ | Genna | Row 85
✅ Saved → SBQ | Genna | Row 86
✅ Saved → SBQ | Genna | Row 87
✅ Saved → SBQ | Genna | Row 88
✅ Saved → SBQ | Genna | Row 89
✅ Saved → SBQ | Genna | Row 90
✅ Saved → SBQ | Genna | Row 91
✅ Saved → SBQ | Genna | Row 92
✅ Saved → SBQ | Genna | Row 93
✅ Saved → SBQ | Genna | Row 94
✅ Saved → SBQ | Genna | Row 95
✅ Saved → SBQ | Genna | Row 96
✅ Saved → SBQ | Genna | Row 97
✅ Saved → SBQ | Genna | Row 98
✅ Saved → SBQ | Genna | Row 99
✅ Saved → SBQ | Genna | Row 100
✅ Saved → SBQ | Genna | Row 101
✅ Saved → SBQ | Genna | Row 102
✅ Saved → SBQ | Genna | Row 103
✅ Saved → SBQ | Genna | Row 104
✅ Saved → SBQ | Genna | Row 105
✅ Saved → SBQ | Genna | Row 106
✅ Saved → SBQ | Genna | Row 107
✅ Saved → SBQ | Genna | Row 108
✅ Saved → SBQ | Genna | Row 109
✅ Saved → SBQ | Genna | Row 110
✅ Saved → SBQ | Genna | Row 111
✅ Saved → SBQ | Genna | Row 112
✅ Saved → SBQ | Genna | Row 113
✅ Saved → SBQ | Genna | Row 114
✅ Saved → SBQ | Genna | Row 115
✅ Saved → SBQ | Genna | Row 116
✅ Saved → SBQ | Genna | Row 117
✅ Saved → SBQ | Genna | Row 118
✅ Saved → SBQ | Genna | Row 119
✅ Saved → SBQ | Genna | Row 120
✅ Saved → SBQ | Genna | Row 121
✅ Saved → SBQ | Genna | Row 122
✅ Saved → SBQ | Genna | Row 123
✅ Saved → SBQ | Genna | Row 124
✅ Saved → SBQ | Genna | Row 125
✅ Saved → SBQ | Genna | Row 126
✅ Saved → SBQ | Genna | Row 127
✅ Saved → SBQ | Genna | Row 128
✅ Saved → SBQ | Genna | Row 129
✅ Saved → SBQ | Genna | Row 130
✅ Saved → SBQ | Genna | Row 131
✅ Saved → SBQ | Genna | Row 132
✅ Saved → SBQ | Genna | Row 133
✅ Saved → SBQ | Genna | Row 134
✅ Saved → SBQ | Genna | Row 135
✅ Saved → SBQ | Genna | Row 136
✅ Saved → SBQ | Genna | Row 137
✅ Saved → SBQ | Genna | Row 138
✅ Saved → SBQ | Genna | Row 139
✅ Saved → SBQ | Genna | Row 140
✅ Saved → SBQ | Genna | Row 141
✅ Saved → SBQ | Genna | Row 142
✅ Saved → SBQ | Genna | Row 143
✅ Saved → SBQ | Genna | Row 144
✅ Saved → SBQ | Genna | Row 145
✅ Saved → SBQ | Genna | Row 146
✅ Saved → SBQ | Genna | Row 147
✅ Saved → SBQ | Genna | Row 148
Yeferas Guks
✅ Saved → SBQ | Yeferas Guks | Row 0
✅ Saved → SBQ | Yeferas Guks | Row 1
✅ Saved → SBQ | Yeferas Guks | Row 2
✅ Saved → SBQ | Yeferas Guks | Row 3
✅ Saved → SBQ | Yeferas Guks | Row 4
✅ Saved → SBQ | Yeferas Guks | Row 5
✅ Saved → SBQ | Yeferas Guks | Row 6
✅ Saved → SBQ | Yeferas Guks | Row 7
✅ Saved → SBQ | Yeferas Guks | Row 8
✅ Saved → SBQ | Yeferas Guks | Row 9
✅ Saved → SBQ | Yeferas Guks | Row 10
✅ Saved → SBQ | Yeferas Guks | Row 11
✅ Saved → SBQ | Yeferas Guks | Row 12
✅ Saved → SBQ | Yeferas Guks | Row 13
✅ Saved → SBQ | Yeferas Guks | Row 14
✅ Saved → SBQ | Yeferas Guks | Row 15
✅ Saved → SBQ | Yeferas Guks | Row 16
✅ Saved → SBQ | Yeferas Guks | Row 17
✅ Saved → SBQ | Yeferas Guks | Row 18
✅ Saved → SBQ | Yeferas Guks | Row 19
✅ Saved → SBQ | Yeferas Guks | Row 20
✅ Saved → SBQ | Yeferas Guks | Row 21
✅ Saved → SBQ | Yeferas Guks | Row 22
✅ Saved → SBQ | Yeferas Guks | Row 23
✅ Saved → SBQ | Yeferas Guks | Row 24
✅ Saved → SBQ | Yeferas Guks | Row 25
✅ Saved → SBQ | Yeferas Guks | Row 26
✅ Saved → SBQ | Yeferas Guks | Row 27
✅ Saved → SBQ | Yeferas Guks | Row 28
✅ Saved → SBQ | Yeferas Guks | Row 29
✅ Saved → SBQ | Yeferas Guks | Row 30
✅ Saved → SBQ | Yeferas Guks | Row 31
✅ Saved → SBQ | Yeferas Guks | Row 32
✅ Saved → SBQ | Yeferas Guks | Row 33
✅ Saved → SBQ | Yeferas Guks | Row 34
✅ Saved → SBQ | Yeferas Guks | Row 35
✅ Saved → SBQ | Yeferas Guks | Row 36
✅ Saved → SBQ | Yeferas Guks | Row 37
✅ Saved → SBQ | Yeferas Guks | Row 38
✅ Saved → SBQ | Yeferas Guks | Row 39
✅ Saved → SBQ | Yeferas Guks | Row 40
✅ Saved → SBQ | Yeferas Guks | Row 41
✅ Saved → SBQ | Yeferas Guks | Row 42
✅ Saved → SBQ | Yeferas Guks | Row 43
✅ Saved → SBQ | Yeferas Guks | Row 44
✅ Saved → SBQ | Yeferas Guks | Row 45
✅ Saved → SBQ | Yeferas Guks | Row 46
✅ Saved → SBQ | Yeferas Guks | Row 47
✅ Saved → SBQ | Yeferas Guks | Row 48
✅ Saved → SBQ | Yeferas Guks | Row 49
✅ Saved → SBQ | Yeferas Guks | Row 50
✅ Saved → SBQ | Yeferas Guks | Row 51
✅ Saved → SBQ | Yeferas Guks | Row 52
✅ Saved → SBQ | Yeferas Guks | Row 53
✅ Saved → SBQ | Yeferas Guks | Row 54
✅ Saved → SBQ | Yeferas Guks | Row 55
✅ Saved → SBQ | Yeferas Guks | Row 56
✅ Saved → SBQ | Yeferas Guks | Row 57
✅ Saved → SBQ | Yeferas Guks | Row 58
✅ Saved → SBQ | Yeferas Guks | Row 59
✅ Saved → SBQ | Yeferas Guks | Row 60
✅ Saved → SBQ | Yeferas Guks | Row 61
✅ Saved → SBQ | Yeferas Guks | Row 62
✅ Saved → SBQ | Yeferas Guks | Row 63
✅ Saved → SBQ | Yeferas Guks | Row 64
✅ Saved → SBQ | Yeferas Guks | Row 65
✅ Saved → SBQ | Yeferas Guks | Row 66
✅ Saved → SBQ | Yeferas Guks | Row 67
✅ Saved → SBQ | Yeferas Guks | Row 68
✅ Saved → SBQ | Yeferas Guks | Row 69
✅ Saved → SBQ | Yeferas Guks | Row 71
