Started at: 20:40:09
['/DATA/rohan_kirti/country/france/RBQ/France_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/france/RBQ/France_RBQ.xlsx
✅ Saved → RBQ | Nautical_Jousting | Row 0
✅ Saved → RBQ | Nautical_Jousting | Row 1
✅ Saved → RBQ | Nautical_Jousting | Row 2
✅ Saved → RBQ | Nautical_Jousting | Row 3
✅ Saved → RBQ | Nautical_Jousting | Row 4
✅ Saved → RBQ | Nautical_Jousting | Row 5
✅ Saved → RBQ | Nautical_Jousting | Row 6
✅ Saved → RBQ | Nautical_Jousting | Row 7
✅ Saved → RBQ | Nautical_Jousting | Row 8
✅ Saved → RBQ | Nautical_Jousting | Row 9
✅ Saved → RBQ | Nautical_Jousting | Row 10
✅ Saved → RBQ | Nautical_Jousting | Row 11
✅ Saved → RBQ | Nautical_Jousting | Row 12
✅ Saved → RBQ | Nautical_Jousting | Row 13
✅ Saved → RBQ | Nautical_Jousting | Row 14
✅ Saved → RBQ | Nautical_Jousting | Row 15
✅ Saved → RBQ | Nautical_Jousting | Row 16
✅ Saved → RBQ | Nautical_Jousting | Row 17
✅ Saved → RBQ | Nautical_Jousting | Row 18
✅ Saved → RBQ | Nautical_Jousting | Row 19
✅ Saved → RBQ | Nautical_Jousting | Row 20
✅ Saved → RBQ | Nautical_Jousting | Row 21
✅ Saved → RBQ | Nautical_Jousting | Row 22
✅ Saved → RBQ | Nautical_Jousting | Row 23
✅ Saved → RBQ | Nautical_Jousting | Row 24
✅ Saved → RBQ | Nautical_Jousting | Row 25
✅ Saved → RBQ | Nautical_Jousting | Row 26
✅ Saved → RBQ | Nautical_Jousting | Row 27
✅ Saved → RBQ | Nautical_Jousting | Row 28
✅ Saved → RBQ | Nautical_Jousting | Row 29
✅ Saved → RBQ | Nautical_Jousting | Row 30
✅ Saved → RBQ | Nautical_Jousting | Row 31
✅ Saved → RBQ | Nautical_Jousting | Row 32
✅ Saved → RBQ | Nautical_Jousting | Row 33
✅ Saved → RBQ | Nautical_Jousting | Row 34
✅ Saved → RBQ | Nautical_Jousting | Row 35
✅ Saved → RBQ | Nautical_Jousting | Row 36
✅ Saved → RBQ | Nautical_Jousting | Row 37
✅ Saved → RBQ | Nautical_Jousting | Row 38
✅ Saved → RBQ | Nautical_Jousting | Row 39
✅ Saved → RBQ | Nautical_Jousting | Row 40
✅ Saved → RBQ | Nautical_Jousting | Row 41
✅ Saved → RBQ | Nautical_Jousting | Row 42
✅ Saved → RBQ | Nautical_Jousting | Row 43
✅ Saved → RBQ | Nautical_Jousting | Row 44
✅ Saved → RBQ | Nautical_Jousting | Row 45
✅ Saved → RBQ | Nautical_Jousting | Row 46
✅ Saved → RBQ | Nautical_Jousting | Row 47
✅ Saved → RBQ | Nautical_Jousting | Row 48
✅ Saved → RBQ | Nautical_Jousting | Row 49
✅ Saved → RBQ | Nautical_Jousting | Row 50
✅ Saved → RBQ | Nautical_Jousting | Row 51
✅ Saved → RBQ | Nautical_Jousting | Row 52
✅ Saved → RBQ | Nautical_Jousting | Row 53
✅ Saved → RBQ | Nautical_Jousting | Row 54
✅ Saved → RBQ | Nautical_Jousting | Row 55
✅ Saved → RBQ | Nautical_Jousting | Row 56
✅ Saved → RBQ | Nautical_Jousting | Row 57
✅ Saved → RBQ | Nautical_Jousting | Row 58
✅ Saved → RBQ | Nautical_Jousting | Row 59
✅ Saved → RBQ | Nautical_Jousting | Row 60
✅ Saved → RBQ | Nautical_Jousting | Row 61
✅ Saved → RBQ | Nautical_Jousting | Row 62
✅ Saved → RBQ | Nautical_Jousting | Row 63
✅ Saved → RBQ | Nautical_Jousting | Row 64
✅ Saved → RBQ | Nautical_Jousting | Row 65
✅ Saved → RBQ | Nautical_Jousting | Row 66
✅ Saved → RBQ | Nautical_Jousting | Row 67
✅ Saved → RBQ | Nautical_Jousting | Row 68
✅ Saved → RBQ | Nautical_Jousting | Row 69
✅ Saved → RBQ | Nautical_Jousting | Row 70
✅ Saved → RBQ | Nautical_Jousting | Row 71
✅ Saved → RBQ | Nautical_Jousting | Row 72
✅ Saved → RBQ | Nautical_Jousting | Row 73
✅ Saved → RBQ | Nautical_Jousting | Row 74
✅ Saved → RBQ | Nautical_Jousting | Row 75
✅ Saved → RBQ | Nautical_Jousting | Row 76
✅ Saved → RBQ | Nautical_Jousting | Row 77
✅ Saved → RBQ | Nautical_Jousting | Row 78
✅ Saved → RBQ | Nautical_Jousting | Row 79
✅ Saved → RBQ | Nautical_Jousting | Row 80
✅ Saved → RBQ | Nautical_Jousting | Row 81
✅ Saved → RBQ | Nautical_Jousting | Row 82
✅ Saved → RBQ | Nautical_Jousting | Row 83
✅ Saved → RBQ | Nautical_Jousting | Row 84
✅ Saved → RBQ | Nautical_Jousting | Row 85
✅ Saved → RBQ | Nautical_Jousting | Row 86
✅ Saved → RBQ | Nautical_Jousting | Row 87
✅ Saved → RBQ | Nautical_Jousting | Row 88
✅ Saved → RBQ | Nautical_Jousting | Row 89
✅ Saved → RBQ | Nautical_Jousting | Row 90
✅ Saved → RBQ | Nautical_Jousting | Row 91
✅ Saved → RBQ | Nautical_Jousting | Row 92
✅ Saved → RBQ | Nautical_Jousting | Row 93
✅ Saved → RBQ | Nautical_Jousting | Row 94
✅ Saved → RBQ | Nautical_Jousting | Row 95
✅ Saved → RBQ | Nautical_Jousting | Row 96
✅ Saved → RBQ | Nautical_Jousting | Row 97
✅ Saved → RBQ | Nautical_Jousting | Row 98
✅ Saved → RBQ | Nautical_Jousting | Row 99
✅ Saved → RBQ | Nautical_Jousting | Row 100
✅ Saved → RBQ | Nautical_Jousting | Row 101
✅ Saved → RBQ | Nautical_Jousting | Row 102
✅ Saved → RBQ | Nautical_Jousting | Row 103
✅ Saved → RBQ | Nautical_Jousting | Row 104
✅ Saved → RBQ | Nautical_Jousting | Row 105
✅ Saved → RBQ | Nautical_Jousting | Row 106
✅ Saved → RBQ | Nautical_Jousting | Row 107
✅ Saved → RBQ | Nautical_Jousting | Row 108
✅ Saved → RBQ | Nautical_Jousting | Row 109
✅ Saved → RBQ | Nautical_Jousting | Row 110
✅ Saved → RBQ | Nautical_Jousting | Row 111
✅ Saved → RBQ | Nautical_Jousting | Row 112
✅ Saved → RBQ | Nautical_Jousting | Row 113
✅ Saved → RBQ | Nautical_Jousting | Row 114
✅ Saved → RBQ | Nautical_Jousting | Row 115
✅ Saved → RBQ | Nautical_Jousting | Row 116
✅ Saved → RBQ | Nautical_Jousting | Row 117
✅ Saved → RBQ | Nautical_Jousting | Row 118
✅ Saved → RBQ | Nautical_Jousting | Row 119
✅ Saved → RBQ | Nautical_Jousting | Row 120
✅ Saved → RBQ | Nautical_Jousting | Row 121
