Started at: 20:36:44
SBQ

📌 Processing: /DATA/rohan_kirti/country/france/SBQ/France_SBQ.xlsx
Joutes
✅ Saved → SBQ | Joutes | Row 0
✅ Saved → SBQ | Joutes | Row 1
✅ Saved → SBQ | Joutes | Row 2
✅ Saved → SBQ | Joutes | Row 3
✅ Saved → SBQ | Joutes | Row 4
✅ Saved → SBQ | Joutes | Row 5
✅ Saved → SBQ | Joutes | Row 6
✅ Saved → SBQ | Joutes | Row 7
✅ Saved → SBQ | Joutes | Row 8
✅ Saved → SBQ | Joutes | Row 9
✅ Saved → SBQ | Joutes | Row 10
✅ Saved → SBQ | Joutes | Row 11
✅ Saved → SBQ | Joutes | Row 12
✅ Saved → SBQ | Joutes | Row 13
✅ Saved → SBQ | Joutes | Row 14
✅ Saved → SBQ | Joutes | Row 15
✅ Saved → SBQ | Joutes | Row 16
✅ Saved → SBQ | Joutes | Row 17
✅ Saved → SBQ | Joutes | Row 18
✅ Saved → SBQ | Joutes | Row 19
✅ Saved → SBQ | Joutes | Row 20
✅ Saved → SBQ | Joutes | Row 21
✅ Saved → SBQ | Joutes | Row 22
✅ Saved → SBQ | Joutes | Row 23
✅ Saved → SBQ | Joutes | Row 24
✅ Saved → SBQ | Joutes | Row 25
✅ Saved → SBQ | Joutes | Row 26
✅ Saved → SBQ | Joutes | Row 27
✅ Saved → SBQ | Joutes | Row 28
✅ Saved → SBQ | Joutes | Row 29
✅ Saved → SBQ | Joutes | Row 30
✅ Saved → SBQ | Joutes | Row 31
✅ Saved → SBQ | Joutes | Row 32
✅ Saved → SBQ | Joutes | Row 33
✅ Saved → SBQ | Joutes | Row 34
✅ Saved → SBQ | Joutes | Row 35
✅ Saved → SBQ | Joutes | Row 36
✅ Saved → SBQ | Joutes | Row 37
✅ Saved → SBQ | Joutes | Row 38
✅ Saved → SBQ | Joutes | Row 39
✅ Saved → SBQ | Joutes | Row 40
✅ Saved → SBQ | Joutes | Row 41
✅ Saved → SBQ | Joutes | Row 42
✅ Saved → SBQ | Joutes | Row 43
✅ Saved → SBQ | Joutes | Row 44
✅ Saved → SBQ | Joutes | Row 45
✅ Saved → SBQ | Joutes | Row 46
✅ Saved → SBQ | Joutes | Row 47
✅ Saved → SBQ | Joutes | Row 48
✅ Saved → SBQ | Joutes | Row 49
✅ Saved → SBQ | Joutes | Row 50
✅ Saved → SBQ | Joutes | Row 51
✅ Saved → SBQ | Joutes | Row 52
✅ Saved → SBQ | Joutes | Row 53
✅ Saved → SBQ | Joutes | Row 55
✅ Saved → SBQ | Joutes | Row 56
✅ Saved → SBQ | Joutes | Row 57
✅ Saved → SBQ | Joutes | Row 58
✅ Saved → SBQ | Joutes | Row 62
✅ Saved → SBQ | Joutes | Row 66
✅ Saved → SBQ | Joutes | Row 67
✅ Saved → SBQ | Joutes | Row 68
✅ Saved → SBQ | Joutes | Row 70
✅ Saved → SBQ | Joutes | Row 71
✅ Saved → SBQ | Joutes | Row 72
✅ Saved → SBQ | Joutes | Row 73
✅ Saved → SBQ | Joutes | Row 75
✅ Saved → SBQ | Joutes | Row 77
✅ Saved → SBQ | Joutes | Row 78
✅ Saved → SBQ | Joutes | Row 79
✅ Saved → SBQ | Joutes | Row 80
✅ Saved → SBQ | Joutes | Row 81
✅ Saved → SBQ | Joutes | Row 83
✅ Saved → SBQ | Joutes | Row 84
✅ Saved → SBQ | Joutes | Row 100
✅ Saved → SBQ | Joutes | Row 101
✅ Saved → SBQ | Joutes | Row 102
✅ Saved → SBQ | Joutes | Row 103
✅ Saved → SBQ | Joutes | Row 104
✅ Saved → SBQ | Joutes | Row 105
✅ Saved → SBQ | Joutes | Row 106
✅ Saved → SBQ | Joutes | Row 107
✅ Saved → SBQ | Joutes | Row 108
✅ Saved → SBQ | Joutes | Row 109
✅ Saved → SBQ | Joutes | Row 110
✅ Saved → SBQ | Joutes | Row 111
✅ Saved → SBQ | Joutes | Row 112
✅ Saved → SBQ | Joutes | Row 113
✅ Saved → SBQ | Joutes | Row 114
✅ Saved → SBQ | Joutes | Row 115
✅ Saved → SBQ | Joutes | Row 116
✅ Saved → SBQ | Joutes | Row 117
✅ Saved → SBQ | Joutes | Row 118
✅ Saved → SBQ | Joutes | Row 119
✅ Saved → SBQ | Joutes | Row 120
✅ Saved → SBQ | Joutes | Row 121
✅ Saved → SBQ | Joutes | Row 122
✅ Saved → SBQ | Joutes | Row 123
✅ Saved → SBQ | Joutes | Row 124
✅ Saved → SBQ | Joutes | Row 125
✅ Saved → SBQ | Joutes | Row 126
✅ Saved → SBQ | Joutes | Row 127
✅ Saved → SBQ | Joutes | Row 128
✅ Saved → SBQ | Joutes | Row 129
✅ Saved → SBQ | Joutes | Row 130
✅ Saved → SBQ | Joutes | Row 131
✅ Saved → SBQ | Joutes | Row 132
✅ Saved → SBQ | Joutes | Row 133
✅ Saved → SBQ | Joutes | Row 134
✅ Saved → SBQ | Joutes | Row 135
✅ Saved → SBQ | Joutes | Row 136
✅ Saved → SBQ | Joutes | Row 137
✅ Saved → SBQ | Joutes | Row 138
✅ Saved → SBQ | Joutes | Row 139
✅ Saved → SBQ | Joutes | Row 140
✅ Saved → SBQ | Joutes | Row 141
✅ Saved → SBQ | Joutes | Row 143
