Started at: 09:23:12

📌 Processing: /DATA/rohan_kirti/country/germany/HBQ/HBQ_Germany.xlsx
✅ Saved → HBQ | Rowing | Row 0
✅ Saved → HBQ | Rowing | Row 1
✅ Saved → HBQ | Rowing | Row 2
✅ Saved → HBQ | Rowing | Row 3
✅ Saved → HBQ | Rowing | Row 4
✅ Saved → HBQ | Rowing | Row 5
✅ Saved → HBQ | Rowing | Row 6
✅ Saved → HBQ | Rowing | Row 7
✅ Saved → HBQ | Rowing | Row 8
✅ Saved → HBQ | Rowing | Row 9
✅ Saved → HBQ | Rowing | Row 10
✅ Saved → HBQ | Rowing | Row 11
✅ Saved → HBQ | Rowing | Row 12
✅ Saved → HBQ | Rowing | Row 13
✅ Saved → HBQ | Rowing | Row 14
✅ Saved → HBQ | Rowing | Row 15
✅ Saved → HBQ | Rowing | Row 16
✅ Saved → HBQ | Rowing | Row 17
✅ Saved → HBQ | Rowing | Row 18
✅ Saved → HBQ | Rowing | Row 19
✅ Saved → HBQ | Rowing | Row 20
✅ Saved → HBQ | Rowing | Row 21
✅ Saved → HBQ | Rowing | Row 22
✅ Saved → HBQ | Rowing | Row 23
✅ Saved → HBQ | Rowing | Row 24
✅ Saved → HBQ | Rowing | Row 25
✅ Saved → HBQ | Rowing | Row 26
✅ Saved → HBQ | Rowing | Row 27
✅ Saved → HBQ | Rowing | Row 28
✅ Saved → HBQ | Rowing | Row 29
✅ Saved → HBQ | Rowing | Row 30
✅ Saved → HBQ | Rowing | Row 31
✅ Saved → HBQ | Rowing | Row 32
✅ Saved → HBQ | Rowing | Row 33
✅ Saved → HBQ | Rowing | Row 34
✅ Saved → HBQ | Rowing | Row 35
✅ Saved → HBQ | Rowing | Row 36
✅ Saved → HBQ | Rowing | Row 37
✅ Saved → HBQ | Rowing | Row 38
✅ Saved → HBQ | Rowing | Row 39
✅ Saved → HBQ | Rowing | Row 40
✅ Saved → HBQ | Rowing | Row 41
✅ Saved → HBQ | Rowing | Row 42
✅ Saved → HBQ | Rowing | Row 43
✅ Saved → HBQ | Rowing | Row 44
✅ Saved → HBQ | Rowing | Row 45
✅ Saved → HBQ | Rowing | Row 46
✅ Saved → HBQ | Rowing | Row 47
✅ Saved → HBQ | Rowing | Row 48
✅ Saved → HBQ | Rowing | Row 49
✅ Saved → HBQ | Rowing | Row 50
✅ Saved → HBQ | Rowing | Row 51
✅ Saved → HBQ | Rowing | Row 52
✅ Saved → HBQ | Rowing | Row 53
✅ Saved → HBQ | Rowing | Row 54
✅ Saved → HBQ | Rowing | Row 55
✅ Saved → HBQ | Rowing | Row 56
✅ Saved → HBQ | Rowing | Row 57
✅ Saved → HBQ | Rowing | Row 58
✅ Saved → HBQ | Rowing | Row 59
✅ Saved → HBQ | Rowing | Row 60
✅ Saved → HBQ | Rowing | Row 61
