Started at: 09:18:10
['/DATA/rohan_kirti/country/germany/RBQ/Germany_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/germany/RBQ/Germany_RBQ.xlsx
✅ Saved → RBQ | Rowing(Rudern) | Row 0
✅ Saved → RBQ | Rowing(Rudern) | Row 1
✅ Saved → RBQ | Rowing(Rudern) | Row 2
✅ Saved → RBQ | Rowing(Rudern) | Row 3
✅ Saved → RBQ | Rowing(Rudern) | Row 4
✅ Saved → RBQ | Rowing(Rudern) | Row 5
✅ Saved → RBQ | Rowing(Rudern) | Row 6
✅ Saved → RBQ | Rowing(Rudern) | Row 7
✅ Saved → RBQ | Rowing(Rudern) | Row 8
✅ Saved → RBQ | Rowing(Rudern) | Row 9
✅ Saved → RBQ | Rowing(Rudern) | Row 10
✅ Saved → RBQ | Rowing(Rudern) | Row 11
✅ Saved → RBQ | Rowing(Rudern) | Row 12
✅ Saved → RBQ | Rowing(Rudern) | Row 13
✅ Saved → RBQ | Rowing(Rudern) | Row 14
✅ Saved → RBQ | Rowing(Rudern) | Row 15
✅ Saved → RBQ | Rowing(Rudern) | Row 16
✅ Saved → RBQ | Rowing(Rudern) | Row 17
✅ Saved → RBQ | Rowing(Rudern) | Row 18
✅ Saved → RBQ | Rowing(Rudern) | Row 19
✅ Saved → RBQ | Rowing(Rudern) | Row 20
✅ Saved → RBQ | Rowing(Rudern) | Row 21
✅ Saved → RBQ | Rowing(Rudern) | Row 22
✅ Saved → RBQ | Rowing(Rudern) | Row 23
✅ Saved → RBQ | Rowing(Rudern) | Row 24
✅ Saved → RBQ | Rowing(Rudern) | Row 25
✅ Saved → RBQ | Rowing(Rudern) | Row 26
✅ Saved → RBQ | Rowing(Rudern) | Row 27
✅ Saved → RBQ | Rowing(Rudern) | Row 28
✅ Saved → RBQ | Rowing(Rudern) | Row 29
✅ Saved → RBQ | Rowing(Rudern) | Row 30
✅ Saved → RBQ | Rowing(Rudern) | Row 31
✅ Saved → RBQ | Rowing(Rudern) | Row 32
✅ Saved → RBQ | Rowing(Rudern) | Row 33
✅ Saved → RBQ | Rowing(Rudern) | Row 34
✅ Saved → RBQ | Rowing(Rudern) | Row 35
✅ Saved → RBQ | Rowing(Rudern) | Row 36
✅ Saved → RBQ | Rowing(Rudern) | Row 37
✅ Saved → RBQ | Rowing(Rudern) | Row 38
✅ Saved → RBQ | Rowing(Rudern) | Row 39
