Started at: 20:59:32
['C:\\Users\\nilad\\Documents\\country-dataset\\italy\\IBQ\\IBQ_Italy.xlsx']

-> Processing: C:\Users\nilad\Documents\country-dataset\italy\IBQ\IBQ_Italy.xlsx
[SAVED] -> IBQ | Bocce | Row 0
[SAVED] -> IBQ | Bocce | Row 1
[SAVED] -> IBQ | Bocce | Row 2
[SAVED] -> IBQ | Bocce | Row 3
[SAVED] -> IBQ | Bocce | Row 4
[SAVED] -> IBQ | Bocce | Row 5
[SAVED] -> IBQ | Bocce | Row 6
[SAVED] -> IBQ | Bocce | Row 7
[SAVED] -> IBQ | Bocce | Row 8
[SAVED] -> IBQ | Bocce | Row 9
[SAVED] -> IBQ | Bocce | Row 12
[SAVED] -> IBQ | Bocce | Row 13
[SAVED] -> IBQ | Bocce | Row 14
[SAVED] -> IBQ | Bocce | Row 15
[SAVED] -> IBQ | Bocce | Row 16
[SAVED] -> IBQ | Bocce | Row 17
[SAVED] -> IBQ | Bocce | Row 18
[SAVED] -> IBQ | Bocce | Row 19
[SAVED] -> IBQ | Bocce | Row 21
[SAVED] -> IBQ | Bocce | Row 22
[SAVED] -> IBQ | Bocce | Row 23
[SAVED] -> IBQ | Bocce | Row 24
[SAVED] -> IBQ | Bocce | Row 27
[SAVED] -> IBQ | Bocce | Row 28
[SAVED] -> IBQ | Bocce | Row 29
[SAVED] -> IBQ | Bocce | Row 32
[SAVED] -> IBQ | Bocce | Row 33
[SAVED] -> IBQ | Bocce | Row 34
[SAVED] -> IBQ | Bocce | Row 36
[SAVED] -> IBQ | Bocce | Row 37
[SAVED] -> IBQ | Bocce | Row 38
[SAVED] -> IBQ | Bocce | Row 39
[SAVED] -> IBQ | Bocce | Row 40
[SAVED] -> IBQ | Bocce | Row 42
[SAVED] -> IBQ | Bocce | Row 43
[SAVED] -> IBQ | Bocce | Row 44
[SAVED] -> IBQ | Bocce | Row 45
[SAVED] -> IBQ | Bocce | Row 46
[SAVED] -> IBQ | Bocce | Row 47
[SAVED] -> IBQ | Bocce | Row 48
[SAVED] -> IBQ | Bocce | Row 49
[SAVED] -> IBQ | Bocce | Row 52
[SAVED] -> IBQ | Bocce | Row 53
[SAVED] -> IBQ | Bocce | Row 54
[SAVED] -> IBQ | Bocce | Row 56
[SAVED] -> IBQ | Bocce | Row 58
[SAVED] -> IBQ | Bocce | Row 59
[SAVED] -> IBQ | Pallone col Bracciale | Row 0
[SAVED] -> IBQ | Pallone col Bracciale | Row 1
[SAVED] -> IBQ | Pallone col Bracciale | Row 2
[SAVED] -> IBQ | Pallone col Bracciale | Row 3
[SAVED] -> IBQ | Pallone col Bracciale | Row 4
[SAVED] -> IBQ | Pallone col Bracciale | Row 5
[SAVED] -> IBQ | Pallone col Bracciale | Row 6
[SAVED] -> IBQ | Pallone col Bracciale | Row 7
[SAVED] -> IBQ | Pallone col Bracciale | Row 8
[SAVED] -> IBQ | Pallone col Bracciale | Row 9
[SAVED] -> IBQ | Pallone col Bracciale | Row 10
[SAVED] -> IBQ | Pallone col Bracciale | Row 11
[SAVED] -> IBQ | Pallone col Bracciale | Row 12
[SAVED] -> IBQ | Pallone col Bracciale | Row 13
[SAVED] -> IBQ | Pallone col Bracciale | Row 14
[SAVED] -> IBQ | Pallone col Bracciale | Row 15
[SAVED] -> IBQ | Pallone col Bracciale | Row 16
[SAVED] -> IBQ | Pallone col Bracciale | Row 17
[SAVED] -> IBQ | Pallone col Bracciale | Row 19
[SAVED] -> IBQ | Pallone col Bracciale | Row 20
[SAVED] -> IBQ | Pallone col Bracciale | Row 21
[SAVED] -> IBQ | Pallone col Bracciale | Row 22
[SAVED] -> IBQ | Pallone col Bracciale | Row 23
[SAVED] -> IBQ | Pallone col Bracciale | Row 24
[SAVED] -> IBQ | Pallone col Bracciale | Row 26
[SAVED] -> IBQ | Pallone col Bracciale | Row 27
[SAVED] -> IBQ | Pallone col Bracciale | Row 28
[SAVED] -> IBQ | Pallone col Bracciale | Row 29
[SAVED] -> IBQ | Pallone col Bracciale | Row 30
[SAVED] -> IBQ | Pallone col Bracciale | Row 31
[SAVED] -> IBQ | Pallone col Bracciale | Row 32
[SAVED] -> IBQ | Pallone col Bracciale | Row 33
[SAVED] -> IBQ | Pallone col Bracciale | Row 34
[SAVED] -> IBQ | Pallone col Bracciale | Row 35
[SAVED] -> IBQ | Pallone col Bracciale | Row 36
[SAVED] -> IBQ | Pallone col Bracciale | Row 37
[SAVED] -> IBQ | Pallone col Bracciale | Row 38
[SAVED] -> IBQ | Pallone col Bracciale | Row 39
[SAVED] -> IBQ | Pallone col Bracciale | Row 40
[SAVED] -> IBQ | Pallone col Bracciale | Row 41
[SAVED] -> IBQ | Pallone col Bracciale | Row 43
[SAVED] -> IBQ | Pallone col Bracciale | Row 44
[SAVED] -> IBQ | Pallone col Bracciale | Row 45
[SAVED] -> IBQ | Pallone col Bracciale | Row 46
[SAVED] -> IBQ | Pallone col Bracciale | Row 47
[SAVED] -> IBQ | Pallone col Bracciale | Row 48
[SAVED] -> IBQ | Pallone col Bracciale | Row 49
[SAVED] -> IBQ | Pallone col Bracciale | Row 50
[SAVED] -> IBQ | Pallone col Bracciale | Row 51
[SAVED] -> IBQ | Pallone col Bracciale | Row 52
[SAVED] -> IBQ | Pallone col Bracciale | Row 55
[SAVED] -> IBQ | Pallone col Bracciale | Row 56
[SAVED] -> IBQ | Pallone col Bracciale | Row 57
[SAVED] -> IBQ | Pallone col Bracciale | Row 58
[SAVED] -> IBQ | Pallone col Bracciale | Row 59
[SAVED] -> IBQ | calcio | Row 0
[SAVED] -> IBQ | calcio | Row 1
[SAVED] -> IBQ | calcio | Row 2
[SAVED] -> IBQ | calcio | Row 3
[SAVED] -> IBQ | calcio | Row 4
[SAVED] -> IBQ | calcio | Row 5
[SAVED] -> IBQ | calcio | Row 6
[SAVED] -> IBQ | calcio | Row 7
[SAVED] -> IBQ | calcio | Row 8
[SAVED] -> IBQ | calcio | Row 9
[SAVED] -> IBQ | calcio | Row 10
[SAVED] -> IBQ | calcio | Row 11
[SAVED] -> IBQ | calcio | Row 12
[SAVED] -> IBQ | calcio | Row 13
[SAVED] -> IBQ | calcio | Row 14
[SAVED] -> IBQ | calcio | Row 15
[SAVED] -> IBQ | calcio | Row 16
[SAVED] -> IBQ | calcio | Row 17
[SAVED] -> IBQ | calcio | Row 18
[SAVED] -> IBQ | calcio | Row 19
[SAVED] -> IBQ | calcio | Row 20
[SAVED] -> IBQ | calcio | Row 21
[SAVED] -> IBQ | calcio | Row 22
[SAVED] -> IBQ | calcio | Row 23
[SAVED] -> IBQ | calcio | Row 24
[SAVED] -> IBQ | calcio | Row 26
[SAVED] -> IBQ | calcio | Row 27
[SAVED] -> IBQ | calcio | Row 28
[SAVED] -> IBQ | calcio | Row 29
[SAVED] -> IBQ | calcio | Row 30
[SAVED] -> IBQ | calcio | Row 31
[SAVED] -> IBQ | calcio | Row 32
[SAVED] -> IBQ | calcio | Row 33
[SAVED] -> IBQ | calcio | Row 34
[SAVED] -> IBQ | calcio | Row 35
[SAVED] -> IBQ | calcio | Row 36
[SAVED] -> IBQ | calcio | Row 38
[SAVED] -> IBQ | calcio | Row 40
[SAVED] -> IBQ | calcio | Row 41
[SAVED] -> IBQ | calcio | Row 43
[SAVED] -> IBQ | calcio | Row 44
[SAVED] -> IBQ | calcio | Row 47
[SAVED] -> IBQ | calcio | Row 48
[SAVED] -> IBQ | calcio | Row 49
[SAVED] -> IBQ | calcio | Row 51
[SAVED] -> IBQ | calcio | Row 54
[SAVED] -> IBQ | calcio | Row 55
[SAVED] -> IBQ | calcio | Row 56
[SAVED] -> IBQ | calcio | Row 57
[SAVED] -> IBQ | calcio | Row 58
[SAVED] -> IBQ | calcio | Row 59
[SAVED] -> IBQ | Ruzzola | Row 0
[SAVED] -> IBQ | Ruzzola | Row 1
[SAVED] -> IBQ | Ruzzola | Row 2
[SAVED] -> IBQ | Ruzzola | Row 3
[SAVED] -> IBQ | Ruzzola | Row 4
[SAVED] -> IBQ | Ruzzola | Row 5
[SAVED] -> IBQ | Ruzzola | Row 6
[SAVED] -> IBQ | Ruzzola | Row 7
[SAVED] -> IBQ | Ruzzola | Row 8
[SAVED] -> IBQ | Ruzzola | Row 9
[SAVED] -> IBQ | Ruzzola | Row 10
