Started at: 15:38:10
['/DATA/rohan_kirti/country/italy/RBQ/Italy_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/italy/RBQ/Italy_RBQ.xlsx
✅ Saved → RBQ | Calcio | Row 0
✅ Saved → RBQ | Calcio | Row 1
✅ Saved → RBQ | Calcio | Row 2
✅ Saved → RBQ | Calcio | Row 3
✅ Saved → RBQ | Calcio | Row 4
✅ Saved → RBQ | Calcio | Row 5
✅ Saved → RBQ | Calcio | Row 6
✅ Saved → RBQ | Calcio | Row 7
✅ Saved → RBQ | Calcio | Row 8
✅ Saved → RBQ | Calcio | Row 9
✅ Saved → RBQ | Calcio | Row 10
✅ Saved → RBQ | Calcio | Row 11
✅ Saved → RBQ | Calcio | Row 12
✅ Saved → RBQ | Calcio | Row 13
✅ Saved → RBQ | Calcio | Row 14
✅ Saved → RBQ | Calcio | Row 15
✅ Saved → RBQ | Calcio | Row 16
✅ Saved → RBQ | Calcio | Row 17
✅ Saved → RBQ | Calcio | Row 18
✅ Saved → RBQ | Calcio | Row 19
✅ Saved → RBQ | Calcio | Row 20
✅ Saved → RBQ | Calcio | Row 21
✅ Saved → RBQ | Calcio | Row 22
✅ Saved → RBQ | Calcio | Row 23
✅ Saved → RBQ | Calcio | Row 24
✅ Saved → RBQ | Calcio | Row 25
✅ Saved → RBQ | Calcio | Row 26
✅ Saved → RBQ | Calcio | Row 27
✅ Saved → RBQ | Calcio | Row 28
✅ Saved → RBQ | Calcio | Row 29
✅ Saved → RBQ | Calcio | Row 30
✅ Saved → RBQ | Calcio | Row 31
✅ Saved → RBQ | Calcio | Row 32
✅ Saved → RBQ | Calcio | Row 33
✅ Saved → RBQ | Calcio | Row 34
✅ Saved → RBQ | Calcio | Row 35
✅ Saved → RBQ | Calcio | Row 36
✅ Saved → RBQ | Calcio | Row 37
✅ Saved → RBQ | Calcio | Row 38
✅ Saved → RBQ | Calcio | Row 39
✅ Saved → RBQ | Calcio | Row 40
✅ Saved → RBQ | Calcio | Row 41
✅ Saved → RBQ | Calcio | Row 42
✅ Saved → RBQ | Calcio | Row 43
✅ Saved → RBQ | Calcio | Row 44
✅ Saved → RBQ | Calcio | Row 45
✅ Saved → RBQ | Calcio | Row 46
✅ Saved → RBQ | Calcio | Row 47
✅ Saved → RBQ | Calcio | Row 48
✅ Saved → RBQ | Calcio | Row 49
✅ Saved → RBQ | Calcio | Row 50
✅ Saved → RBQ | Calcio | Row 51
✅ Saved → RBQ | Calcio | Row 52
✅ Saved → RBQ | Calcio | Row 53
✅ Saved → RBQ | Calcio | Row 54
✅ Saved → RBQ | Calcio | Row 55
✅ Saved → RBQ | Calcio | Row 56
✅ Saved → RBQ | Calcio | Row 57
✅ Saved → RBQ | Calcio | Row 58
✅ Saved → RBQ | Calcio | Row 59
✅ Saved → RBQ | Calcio | Row 60
✅ Saved → RBQ | Calcio | Row 61
✅ Saved → RBQ | Calcio | Row 62
✅ Saved → RBQ | Calcio | Row 63
✅ Saved → RBQ | Calcio | Row 64
✅ Saved → RBQ | Calcio | Row 65
✅ Saved → RBQ | Calcio | Row 66
✅ Saved → RBQ | Calcio | Row 67
✅ Saved → RBQ | Calcio | Row 68
✅ Saved → RBQ | Calcio | Row 69
✅ Saved → RBQ | Calcio | Row 70
✅ Saved → RBQ | Calcio | Row 71
✅ Saved → RBQ | Calcio | Row 72
✅ Saved → RBQ | Calcio | Row 73
✅ Saved → RBQ | Calcio | Row 74
✅ Saved → RBQ | Calcio | Row 75
