Started at: 17:04:11
['C:\\Users\\nilad\\Documents\\country-dataset\\pakistan\\IBQ\\Pakistan_IBQ.xlsx']

-> Processing: C:\Users\nilad\Documents\country-dataset\pakistan\IBQ\Pakistan_IBQ.xlsx
[SAVED] -> IBQ | Chaturanga | Row 0
[SAVED] -> IBQ | Chaturanga | Row 1
[SAVED] -> IBQ | Chaturanga | Row 2
[SAVED] -> IBQ | Chaturanga | Row 3
[SAVED] -> IBQ | Chaturanga | Row 4
[SAVED] -> IBQ | Chaturanga | Row 5
[SAVED] -> IBQ | Chaturanga | Row 6
[SAVED] -> IBQ | Chaturanga | Row 7
[SAVED] -> IBQ | Chaturanga | Row 9
[SAVED] -> IBQ | Chaturanga | Row 10
[SAVED] -> IBQ | Chaturanga | Row 11
[SAVED] -> IBQ | Chaturanga | Row 12
[SAVED] -> IBQ | Chaturanga | Row 13
[SAVED] -> IBQ | Chaturanga | Row 15
[SAVED] -> IBQ | Chaturanga | Row 16
[SAVED] -> IBQ | Chaturanga | Row 17
[SAVED] -> IBQ | Chaturanga | Row 20
[SAVED] -> IBQ | Chaturanga | Row 30
[SAVED] -> IBQ | Chaturanga | Row 40
[SAVED] -> IBQ | Chaturanga | Row 50
[SAVED] -> IBQ | Chaturanga | Row 51
[SAVED] -> IBQ | Chaturanga | Row 52
[SAVED] -> IBQ | Chaturanga | Row 53
[SAVED] -> IBQ | Chaturanga | Row 54
[SAVED] -> IBQ | Chaturanga | Row 60
[SAVED] -> IBQ | Chaturanga | Row 70
[SAVED] -> IBQ | Chaturanga | Row 80
[SAVED] -> IBQ | Chaturanga | Row 90
[SAVED] -> IBQ | Chaturanga | Row 100
[SAVED] -> IBQ | Chaturanga | Row 103
[SAVED] -> IBQ | Chaturanga | Row 104
[SAVED] -> IBQ | Chaturanga | Row 110
[SAVED] -> IBQ | Chaturanga | Row 120
[SAVED] -> IBQ | Chaturanga | Row 121
[SAVED] -> IBQ | Chaturanga | Row 122
[SAVED] -> IBQ | Chaturanga | Row 123
[SAVED] -> IBQ | Chaturanga | Row 124
[SAVED] -> IBQ | Chaturanga | Row 125
[SAVED] -> IBQ | Chaturanga | Row 130
[SAVED] -> IBQ | Chaturanga | Row 140
[SAVED] -> IBQ | Chaturanga | Row 150
[SAVED] -> IBQ | Chaturanga | Row 160
[SAVED] -> IBQ | Chaturanga | Row 170
[SAVED] -> IBQ | Chaturanga | Row 171
[SAVED] -> IBQ | Chaturanga | Row 180
[SAVED] -> IBQ | Chaturanga | Row 200
[SAVED] -> IBQ | Chaturanga | Row 203
[SAVED] -> IBQ | Chaturanga | Row 210
[SAVED] -> IBQ | Chaturanga | Row 220
[SAVED] -> IBQ | Chaturanga | Row 222
[SAVED] -> IBQ | Chaturanga | Row 225
[SAVED] -> IBQ | Chaturanga | Row 230
[SAVED] -> IBQ | Buzkashi | Row 0
[SAVED] -> IBQ | Buzkashi | Row 1
[SAVED] -> IBQ | Buzkashi | Row 2
[SAVED] -> IBQ | Buzkashi | Row 3
[SAVED] -> IBQ | Buzkashi | Row 4
[SAVED] -> IBQ | Buzkashi | Row 5
[SAVED] -> IBQ | Buzkashi | Row 6
[SAVED] -> IBQ | Buzkashi | Row 7
[SAVED] -> IBQ | Buzkashi | Row 8
[SAVED] -> IBQ | Buzkashi | Row 9
[SAVED] -> IBQ | Buzkashi | Row 10
[SAVED] -> IBQ | Buzkashi | Row 20
[SAVED] -> IBQ | Buzkashi | Row 21
[SAVED] -> IBQ | Buzkashi | Row 30
[SAVED] -> IBQ | Buzkashi | Row 31
[SAVED] -> IBQ | Buzkashi | Row 40
[SAVED] -> IBQ | Buzkashi | Row 49
[SAVED] -> IBQ | Buzkashi | Row 50
[SAVED] -> IBQ | Buzkashi | Row 51
[SAVED] -> IBQ | Buzkashi | Row 52
[SAVED] -> IBQ | Buzkashi | Row 53
[SAVED] -> IBQ | Buzkashi | Row 54
[SAVED] -> IBQ | Buzkashi | Row 58
[SAVED] -> IBQ | Buzkashi | Row 59
[SAVED] -> IBQ | Buzkashi | Row 60
[SAVED] -> IBQ | Buzkashi | Row 70
[SAVED] -> IBQ | Buzkashi | Row 100
[SAVED] -> IBQ | Buzkashi | Row 110
[SAVED] -> IBQ | Buzkashi | Row 120
[SAVED] -> IBQ | Buzkashi | Row 130
[SAVED] -> IBQ | Buzkashi | Row 140
[SAVED] -> IBQ | Buzkashi | Row 141
[SAVED] -> IBQ | Buzkashi | Row 150
[SAVED] -> IBQ | Buzkashi | Row 160
[SAVED] -> IBQ | Buzkashi | Row 161
[SAVED] -> IBQ | Buzkashi | Row 170
[SAVED] -> IBQ | Buzkashi | Row 180
