Started at: 10:31:57
['/DATA/rohan_kirti/country/pakistan/RBQ/Pakistan_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/pakistan/RBQ/Pakistan_RBQ.xlsx
✅ Saved → RBQ | Chaturanga | Row 0
✅ Saved → RBQ | Chaturanga | Row 1
✅ Saved → RBQ | Chaturanga | Row 2
✅ Saved → RBQ | Chaturanga | Row 3
✅ Saved → RBQ | Chaturanga | Row 4
✅ Saved → RBQ | Chaturanga | Row 5
✅ Saved → RBQ | Chaturanga | Row 6
✅ Saved → RBQ | Chaturanga | Row 7
✅ Saved → RBQ | Chaturanga | Row 8
✅ Saved → RBQ | Chaturanga | Row 9
✅ Saved → RBQ | Chaturanga | Row 10
✅ Saved → RBQ | Chaturanga | Row 11
✅ Saved → RBQ | Chaturanga | Row 12
✅ Saved → RBQ | Chaturanga | Row 13
✅ Saved → RBQ | Chaturanga | Row 14
✅ Saved → RBQ | Chaturanga | Row 15
✅ Saved → RBQ | Chaturanga | Row 16
✅ Saved → RBQ | Chaturanga | Row 17
✅ Saved → RBQ | Chaturanga | Row 18
✅ Saved → RBQ | Chaturanga | Row 19
✅ Saved → RBQ | Chaturanga | Row 20
✅ Saved → RBQ | Chaturanga | Row 21
✅ Saved → RBQ | Chaturanga | Row 22
✅ Saved → RBQ | Chaturanga | Row 23
✅ Saved → RBQ | Chaturanga | Row 24
✅ Saved → RBQ | Chaturanga | Row 25
✅ Saved → RBQ | Chaturanga | Row 26
✅ Saved → RBQ | Chaturanga | Row 27
✅ Saved → RBQ | Chaturanga | Row 28
✅ Saved → RBQ | Chaturanga | Row 29
✅ Saved → RBQ | Chaturanga | Row 30
✅ Saved → RBQ | Chaturanga | Row 31
✅ Saved → RBQ | Chaturanga | Row 32
✅ Saved → RBQ | Chaturanga | Row 33
✅ Saved → RBQ | Chaturanga | Row 34
✅ Saved → RBQ | Chaturanga | Row 35
✅ Saved → RBQ | Chaturanga | Row 36
✅ Saved → RBQ | Chaturanga | Row 37
✅ Saved → RBQ | Chaturanga | Row 38
✅ Saved → RBQ | Chaturanga | Row 39
✅ Saved → RBQ | Chaturanga | Row 40
✅ Saved → RBQ | Chaturanga | Row 41
✅ Saved → RBQ | Chaturanga | Row 42
✅ Saved → RBQ | Chaturanga | Row 43
✅ Saved → RBQ | Chaturanga | Row 44
✅ Saved → RBQ | Chaturanga | Row 45
✅ Saved → RBQ | Chaturanga | Row 46
✅ Saved → RBQ | Chaturanga | Row 47
✅ Saved → RBQ | Chaturanga | Row 48
✅ Saved → RBQ | Chaturanga | Row 49
✅ Saved → RBQ | Chaturanga | Row 50
✅ Saved → RBQ | Chaturanga | Row 51
✅ Saved → RBQ | Chaturanga | Row 52
✅ Saved → RBQ | Chaturanga | Row 53
✅ Saved → RBQ | Chaturanga | Row 54
✅ Saved → RBQ | Chaturanga | Row 55
✅ Saved → RBQ | Chaturanga | Row 56
✅ Saved → RBQ | Chaturanga | Row 57
✅ Saved → RBQ | Chaturanga | Row 58
✅ Saved → RBQ | Chaturanga | Row 59
✅ Saved → RBQ | Chaturanga | Row 60
✅ Saved → RBQ | Chaturanga | Row 61
✅ Saved → RBQ | Chaturanga | Row 62
✅ Saved → RBQ | Chaturanga | Row 63
✅ Saved → RBQ | Chaturanga | Row 64
✅ Saved → RBQ | Chaturanga | Row 65
✅ Saved → RBQ | Chaturanga | Row 66
✅ Saved → RBQ | Chaturanga | Row 67
✅ Saved → RBQ | Chaturanga | Row 68
✅ Saved → RBQ | Chaturanga | Row 69
✅ Saved → RBQ | Chaturanga | Row 70
✅ Saved → RBQ | Chaturanga | Row 71
✅ Saved → RBQ | Chaturanga | Row 72
✅ Saved → RBQ | Chaturanga | Row 73
✅ Saved → RBQ | Chaturanga | Row 74
✅ Saved → RBQ | Chaturanga | Row 75
✅ Saved → RBQ | Chaturanga | Row 76
✅ Saved → RBQ | Chaturanga | Row 77
✅ Saved → RBQ | Chaturanga | Row 78
✅ Saved → RBQ | Chaturanga | Row 79
✅ Saved → RBQ | Chaturanga | Row 80
✅ Saved → RBQ | Chaturanga | Row 81
✅ Saved → RBQ | Chaturanga | Row 82
✅ Saved → RBQ | Chaturanga | Row 83
✅ Saved → RBQ | Chaturanga | Row 84
✅ Saved → RBQ | Chaturanga | Row 85
✅ Saved → RBQ | Chaturanga | Row 86
✅ Saved → RBQ | Chaturanga | Row 87
✅ Saved → RBQ | Chaturanga | Row 88
✅ Saved → RBQ | Chaturanga | Row 89
✅ Saved → RBQ | Chaturanga | Row 90
✅ Saved → RBQ | Chaturanga | Row 91
