Country,Type,Count
Bengali,SBQ,668
Bengali,HBQ,764
Bengali,RBQ,747
sudan,SBQ,768
sudan,HBQ,431
sudan,RBQ,577
india,SBQ,6754
india,HBQ,6602
india,RBQ,6155
france,SBQ,449
france,HBQ,627
france,RBQ,513
china,SBQ,874
china,HBQ,813
china,RBQ,841
ethopia,SBQ,627
ethopia,HBQ,1094
ethopia,RBQ,1133
pakistan,SBQ,746
pakistan,HBQ,854
pakistan,RBQ,888
indonesia,SBQ,788
indonesia,HBQ,797
indonesia,RBQ,694
thailand,SBQ,914
thailand,HBQ,1136
thailand,RBQ,1189
germany,SBQ,707
germany,HBQ,575
germany,RBQ,935
