Started at: 09:50:59

📌 Processing: /DATA/rohan_kirti/country/sudan/HBQ/Sudan_HBQ.xlsx
✅ Saved → HBQ | Cow_Fighting | Row 0
✅ Saved → HBQ | Cow_Fighting | Row 1
✅ Saved → HBQ | Cow_Fighting | Row 2
✅ Saved → HBQ | Cow_Fighting | Row 3
✅ Saved → HBQ | Cow_Fighting | Row 4
✅ Saved → HBQ | Cow_Fighting | Row 5
✅ Saved → HBQ | Cow_Fighting | Row 6
✅ Saved → HBQ | Cow_Fighting | Row 7
✅ Saved → HBQ | Cow_Fighting | Row 8
✅ Saved → HBQ | Cow_Fighting | Row 9
✅ Saved → HBQ | Cow_Fighting | Row 10
✅ Saved → HBQ | Cow_Fighting | Row 11
✅ Saved → HBQ | Cow_Fighting | Row 12
✅ Saved → HBQ | Cow_Fighting | Row 13
✅ Saved → HBQ | Cow_Fighting | Row 14
✅ Saved → HBQ | Cow_Fighting | Row 15
✅ Saved → HBQ | Cow_Fighting | Row 16
✅ Saved → HBQ | Cow_Fighting | Row 17
✅ Saved → HBQ | Cow_Fighting | Row 18
✅ Saved → HBQ | Cow_Fighting | Row 19
✅ Saved → HBQ | Cow_Fighting | Row 20
✅ Saved → HBQ | Cow_Fighting | Row 21
✅ Saved → HBQ | Cow_Fighting | Row 22
✅ Saved → HBQ | Cow_Fighting | Row 23
✅ Saved → HBQ | Cow_Fighting | Row 24
✅ Saved → HBQ | Cow_Fighting | Row 25
✅ Saved → HBQ | Cow_Fighting | Row 26
✅ Saved → HBQ | Cow_Fighting | Row 27
✅ Saved → HBQ | Cow_Fighting | Row 28
✅ Saved → HBQ | Cow_Fighting | Row 29
✅ Saved → HBQ | Cow_Fighting | Row 30
✅ Saved → HBQ | Cow_Fighting | Row 31
✅ Saved → HBQ | Cow_Fighting | Row 32
✅ Saved → HBQ | Cow_Fighting | Row 33
✅ Saved → HBQ | Cow_Fighting | Row 34
✅ Saved → HBQ | Cow_Fighting | Row 35
✅ Saved → HBQ | Cow_Fighting | Row 36
✅ Saved → HBQ | Cow_Fighting | Row 37
✅ Saved → HBQ | Cow_Fighting | Row 38
✅ Saved → HBQ | Cow_Fighting | Row 39
✅ Saved → HBQ | Cow_Fighting | Row 40
✅ Saved → HBQ | Cow_Fighting | Row 41
✅ Saved → HBQ | Cow_Fighting | Row 42
✅ Saved → HBQ | Cow_Fighting | Row 43
✅ Saved → HBQ | Cow_Fighting | Row 44
✅ Saved → HBQ | Cow_Fighting | Row 45
✅ Saved → HBQ | Cow_Fighting | Row 46
✅ Saved → HBQ | Cow_Fighting | Row 47
✅ Saved → HBQ | Cow_Fighting | Row 48
✅ Saved → HBQ | Cow_Fighting | Row 49
✅ Saved → HBQ | Cow_Fighting | Row 50
✅ Saved → HBQ | Cow_Fighting | Row 51
✅ Saved → HBQ | Cow_Fighting | Row 52
✅ Saved → HBQ | Cow_Fighting | Row 53
✅ Saved → HBQ | Cow_Fighting | Row 54
✅ Saved → HBQ | Cow_Fighting | Row 55
✅ Saved → HBQ | Cow_Fighting | Row 56
✅ Saved → HBQ | Cow_Fighting | Row 57
✅ Saved → HBQ | Cow_Fighting | Row 58
✅ Saved → HBQ | Cow_Fighting | Row 59
✅ Saved → HBQ | Cow_Fighting | Row 60
✅ Saved → HBQ | Cow_Fighting | Row 61
✅ Saved → HBQ | Cow_Fighting | Row 62
✅ Saved → HBQ | Cow_Fighting | Row 63
✅ Saved → HBQ | Cow_Fighting | Row 64
✅ Saved → HBQ | Cow_Fighting | Row 65
✅ Saved → HBQ | Cow_Fighting | Row 66
✅ Saved → HBQ | Cow_Fighting | Row 67
✅ Saved → HBQ | Cow_Fighting | Row 68
✅ Saved → HBQ | Cow_Fighting | Row 69
✅ Saved → HBQ | Cow_Fighting | Row 70
✅ Saved → HBQ | Cow_Fighting | Row 71
✅ Saved → HBQ | Cow_Fighting | Row 72
✅ Saved → HBQ | Cow_Fighting | Row 73
✅ Saved → HBQ | Cow_Fighting | Row 74
✅ Saved → HBQ | Cow_Fighting | Row 75
✅ Saved → HBQ | Cow_Fighting | Row 76
✅ Saved → HBQ | Cow_Fighting | Row 77
✅ Saved → HBQ | Cow_Fighting | Row 78
✅ Saved → HBQ | Cow_Fighting | Row 79
✅ Saved → HBQ | Cow_Fighting | Row 80
✅ Saved → HBQ | Cow_Fighting | Row 81
✅ Saved → HBQ | Cow_Fighting | Row 82
✅ Saved → HBQ | Cow_Fighting | Row 83
✅ Saved → HBQ | Cow_Fighting | Row 84
✅ Saved → HBQ | Cow_Fighting | Row 85
✅ Saved → HBQ | Cow_Fighting | Row 86
✅ Saved → HBQ | Cow_Fighting | Row 87
✅ Saved → HBQ | Cow_Fighting | Row 88
✅ Saved → HBQ | Cow_Fighting | Row 89
✅ Saved → HBQ | Cow_Fighting | Row 90
✅ Saved → HBQ | Cow_Fighting | Row 91
✅ Saved → HBQ | Cow_Fighting | Row 92
✅ Saved → HBQ | Cow_Fighting | Row 93
✅ Saved → HBQ | Cow_Fighting | Row 94
✅ Saved → HBQ | Cow_Fighting | Row 95
✅ Saved → HBQ | Cow_Fighting | Row 96
✅ Saved → HBQ | Cow_Fighting | Row 97
✅ Saved → HBQ | Cow_Fighting | Row 98
✅ Saved → HBQ | Cow_Fighting | Row 99
✅ Saved → HBQ | Cow_Fighting | Row 100
✅ Saved → HBQ | Cow_Fighting | Row 101
✅ Saved → HBQ | Cow_Fighting | Row 102
✅ Saved → HBQ | Cow_Fighting | Row 103
✅ Saved → HBQ | Cow_Fighting | Row 104
✅ Saved → HBQ | Cow_Fighting | Row 105
✅ Saved → HBQ | Cow_Fighting | Row 106
✅ Saved → HBQ | Cow_Fighting | Row 107
✅ Saved → HBQ | Cow_Fighting | Row 108
✅ Saved → HBQ | Cow_Fighting | Row 109
✅ Saved → HBQ | Cow_Fighting | Row 110
✅ Saved → HBQ | Cow_Fighting | Row 111
✅ Saved → HBQ | Cow_Fighting | Row 112
✅ Saved → HBQ | Cow_Fighting | Row 113
✅ Saved → HBQ | Cow_Fighting | Row 114
✅ Saved → HBQ | Cow_Fighting | Row 115
✅ Saved → HBQ | Cow_Fighting | Row 116
✅ Saved → HBQ | Cow_Fighting | Row 117
✅ Saved → HBQ | Cow_Fighting | Row 118
✅ Saved → HBQ | Cow_Fighting | Row 119
✅ Saved → HBQ | Cow_Fighting | Row 120
✅ Saved → HBQ | Cow_Fighting | Row 121
✅ Saved → HBQ | Cow_Fighting | Row 122
✅ Saved → HBQ | Cow_Fighting | Row 123
✅ Saved → HBQ | Cow_Fighting | Row 124
✅ Saved → HBQ | Cow_Fighting | Row 125
✅ Saved → HBQ | Cow_Fighting | Row 126
✅ Saved → HBQ | Cow_Fighting | Row 127
✅ Saved → HBQ | Cow_Fighting | Row 128
✅ Saved → HBQ | Cow_Fighting | Row 129
✅ Saved → HBQ | Cow_Fighting | Row 130
