Started at: 20:28:35
SBQ

📌 Processing: /DATA/rohan_kirti/country/thailand/SBQ/Thailand_SBQ.xlsx
chon wua
✅ Saved → SBQ | chon wua | Row 0
✅ Saved → SBQ | chon wua | Row 1
✅ Saved → SBQ | chon wua | Row 2
✅ Saved → SBQ | chon wua | Row 3
✅ Saved → SBQ | chon wua | Row 4
✅ Saved → SBQ | chon wua | Row 5
✅ Saved → SBQ | chon wua | Row 6
✅ Saved → SBQ | chon wua | Row 7
✅ Saved → SBQ | chon wua | Row 8
✅ Saved → SBQ | chon wua | Row 9
✅ Saved → SBQ | chon wua | Row 10
✅ Saved → SBQ | chon wua | Row 11
✅ Saved → SBQ | chon wua | Row 12
✅ Saved → SBQ | chon wua | Row 13
✅ Saved → SBQ | chon wua | Row 14
✅ Saved → SBQ | chon wua | Row 15
✅ Saved → SBQ | chon wua | Row 16
✅ Saved → SBQ | chon wua | Row 17
✅ Saved → SBQ | chon wua | Row 18
✅ Saved → SBQ | chon wua | Row 19
✅ Saved → SBQ | chon wua | Row 20
✅ Saved → SBQ | chon wua | Row 21
✅ Saved → SBQ | chon wua | Row 22
✅ Saved → SBQ | chon wua | Row 23
✅ Saved → SBQ | chon wua | Row 24
✅ Saved → SBQ | chon wua | Row 25
✅ Saved → SBQ | chon wua | Row 26
✅ Saved → SBQ | chon wua | Row 27
✅ Saved → SBQ | chon wua | Row 28
✅ Saved → SBQ | chon wua | Row 29
✅ Saved → SBQ | chon wua | Row 30
✅ Saved → SBQ | chon wua | Row 31
✅ Saved → SBQ | chon wua | Row 32
✅ Saved → SBQ | chon wua | Row 33
✅ Saved → SBQ | chon wua | Row 34
✅ Saved → SBQ | chon wua | Row 35
✅ Saved → SBQ | chon wua | Row 36
✅ Saved → SBQ | chon wua | Row 37
✅ Saved → SBQ | chon wua | Row 38
✅ Saved → SBQ | chon wua | Row 39
✅ Saved → SBQ | chon wua | Row 40
✅ Saved → SBQ | chon wua | Row 43
✅ Saved → SBQ | chon wua | Row 44
✅ Saved → SBQ | chon wua | Row 45
✅ Saved → SBQ | chon wua | Row 47
✅ Saved → SBQ | chon wua | Row 48
✅ Saved → SBQ | chon wua | Row 49
✅ Saved → SBQ | chon wua | Row 50
✅ Saved → SBQ | chon wua | Row 51
✅ Saved → SBQ | chon wua | Row 52
✅ Saved → SBQ | chon wua | Row 53
✅ Saved → SBQ | chon wua | Row 54
✅ Saved → SBQ | chon wua | Row 55
✅ Saved → SBQ | chon wua | Row 56
✅ Saved → SBQ | chon wua | Row 57
✅ Saved → SBQ | chon wua | Row 58
✅ Saved → SBQ | chon wua | Row 59
✅ Saved → SBQ | chon wua | Row 60
✅ Saved → SBQ | chon wua | Row 61
✅ Saved → SBQ | chon wua | Row 62
✅ Saved → SBQ | chon wua | Row 63
✅ Saved → SBQ | chon wua | Row 64
✅ Saved → SBQ | chon wua | Row 65
✅ Saved → SBQ | chon wua | Row 66
✅ Saved → SBQ | chon wua | Row 67
✅ Saved → SBQ | chon wua | Row 68
✅ Saved → SBQ | chon wua | Row 69
✅ Saved → SBQ | chon wua | Row 71
✅ Saved → SBQ | chon wua | Row 75
✅ Saved → SBQ | chon wua | Row 76
✅ Saved → SBQ | chon wua | Row 78
✅ Saved → SBQ | chon wua | Row 79
✅ Saved → SBQ | chon wua | Row 80
✅ Saved → SBQ | chon wua | Row 81
✅ Saved → SBQ | chon wua | Row 82
✅ Saved → SBQ | chon wua | Row 83
✅ Saved → SBQ | chon wua | Row 84
✅ Saved → SBQ | chon wua | Row 85
✅ Saved → SBQ | chon wua | Row 87
✅ Saved → SBQ | chon wua | Row 88
✅ Saved → SBQ | chon wua | Row 89
✅ Saved → SBQ | chon wua | Row 90
✅ Saved → SBQ | chon wua | Row 91
✅ Saved → SBQ | chon wua | Row 92
✅ Saved → SBQ | chon wua | Row 93
✅ Saved → SBQ | chon wua | Row 94
✅ Saved → SBQ | chon wua | Row 95
✅ Saved → SBQ | chon wua | Row 96
✅ Saved → SBQ | chon wua | Row 97
✅ Saved → SBQ | chon wua | Row 98
✅ Saved → SBQ | chon wua | Row 99
✅ Saved → SBQ | chon wua | Row 100
✅ Saved → SBQ | chon wua | Row 101
✅ Saved → SBQ | chon wua | Row 102
✅ Saved → SBQ | chon wua | Row 103
✅ Saved → SBQ | chon wua | Row 104
✅ Saved → SBQ | chon wua | Row 105
✅ Saved → SBQ | chon wua | Row 106
✅ Saved → SBQ | chon wua | Row 107
✅ Saved → SBQ | chon wua | Row 108
✅ Saved → SBQ | chon wua | Row 109
✅ Saved → SBQ | chon wua | Row 110
✅ Saved → SBQ | chon wua | Row 112
✅ Saved → SBQ | chon wua | Row 113
✅ Saved → SBQ | chon wua | Row 114
✅ Saved → SBQ | chon wua | Row 115
✅ Saved → SBQ | chon wua | Row 116
✅ Saved → SBQ | chon wua | Row 117
✅ Saved → SBQ | chon wua | Row 118
✅ Saved → SBQ | chon wua | Row 119
✅ Saved → SBQ | chon wua | Row 120
✅ Saved → SBQ | chon wua | Row 121
✅ Saved → SBQ | chon wua | Row 122
✅ Saved → SBQ | chon wua | Row 123
✅ Saved → SBQ | chon wua | Row 124
✅ Saved → SBQ | chon wua | Row 125
✅ Saved → SBQ | chon wua | Row 126
✅ Saved → SBQ | chon wua | Row 127
✅ Saved → SBQ | chon wua | Row 128
✅ Saved → SBQ | chon wua | Row 129
✅ Saved → SBQ | chon wua | Row 130
✅ Saved → SBQ | chon wua | Row 131
✅ Saved → SBQ | chon wua | Row 132
✅ Saved → SBQ | chon wua | Row 133
